Description,Employer,Location,Translation,Multiple,State
Assistenz Head Corporate Communications & Public Affairs w/m,Axpo Services AG,"Axpo Services AG, Parkstrasse 23, 5401 Baden",Assistant Head Corporate Communications & Public Affairs w / m,Y,Aargau
Senior Gas Business Developer,Axpo Solutions AG,"Axpo Services AG, Parkstrasse 23, 5401 Baden",Senior Gas Business Developer,Y,Aargau
"Inspektor / Berater für Elektroinstallationen (m/w, 100%)",,"Bern, Freiburg, Solothurn","Inspector / consultant for electrical installations (m / w, 100%)",Y,Solothurn
Sachbearbeiter Verkauf / Export in der Industrie (E/D) 100%,"Universal-Job AG, Olten","Olten, Wikon, Aarau",Clerk Sales / Export in the industry (E / D) 100%,Y,Aargau
LogistikerIn (w/m 80% Festanstellung),Asanti AG Personaldienstleistungen,Raum Baden / Limmattal,Logistician (w / m 80% permanent),Y,Aargau
"Inspektor und Berater für Elektroinstallationen (m/w, 100%)",,Region Basel / Fricktal,"Inspector and consultant for electrical installations (m / w, 100%)",Y,Aargau
Leiter Hub Schafisheim,railCare,Schafisheim,Head of Hub Schafisheim,Y,Aargau
Relocation Consultant (m/f),,Solothurn und Lausanne,Relocation Consultant (m / f),Y,Solothurn
Contract Manager (80 – 100%),ABB Switzerland Ltd.,Baden-Dättwil,Contract Manager (80 - 100%),N,Aargau
Chauffeur Kat C/E Supervisor (m/w/d) - Rheinfelden,Feldschlösschen Getränke AG,Rheinfelden,Driver Kat C / E Supervisor (m / f / d) - Rheinfelden,N,Aargau
Praktikant/In Marketing,knecht reisen ag,5210 Windisch,Intern / in Marketing,N,Aargau
PraktikantIn Verkauf/Marketing Tagesausflüge 2020,Eurobus AG,5210 Windisch,Intern Sales / Marketing Day trips in 2020,N,Aargau
Product Manager (m/w) Rivage Flussreisen,Eurobus AG,5210 Windisch,Product Manager (m / f) Rivage river cruises,N,Aargau
Allrounder in der Logistik/Produktion 100% (temporär),Job 3000 AG,Aarau,Rounder in logistics / production 100% (temporary),N,Aargau
HR Business Partner 100% (m/w),Pneu Egger AG,Aarau,HR Business Partner 100% (w / w),N,Aargau
HR-Businesspartner (80-100%) m/w,DELIGO AG,Aarau,HR-Business Partner (80-100%) m / w,N,Aargau
IT-Prozessmanager Kundenservice und Dienstleistungen 80 - 100 % (m/w),AEW Energie AG,Aarau,IT Process Manager Customer Services and 80-100% (w / w),N,Aargau
IT-Prozessmanager Strom 80 - 100 % (m/w),AEW Energie AG,Aarau,IT Process Manager current 80-100% (w / w),N,Aargau
"Leiter Eventproduktion, 100%",Zeitpol AG,Aarau,"Head of Event Production, 100%",N,Aargau
Logistiker EFZ/EBA 100%,Job 3000 AG,Aarau,Logisticians EFZ / EBA 100%,N,Aargau
Management System Beauftragte/r mit Schwerpunkt Umweltschutz (60-80%),Swissgrid AG,Aarau,Management System Officer / r with focus on environmental protection (60-80%),N,Aargau
ONLINE MARKETING SPEZIALIST,,Aarau,ONLINE MARKETING SPECIALIST,N,Aargau
Procurement Manager/in Planer- & Ingenieurleistungen (80 - 100%),swissgrid ag,Aarau,Procurement Manager / Planner in & engineering (80 - 100%),N,Aargau
Rangier-Spezialisten/in SBB Cargo,SBB AG,Aarau,Shunting specialists / in SBB Cargo,N,Aargau
ReiseberaterIn Aarau (40 - 60% - m/w),DER Touristik Suisse,Aarau,Travel agent Aarau (40 - 60% - m / w),N,Aargau
"ReiseberaterIn Aarau, 100%",Globetrotter Travel Service AG,Aarau,"Travel Consultant Aarau, 100%",N,Aargau
Sachbearbeiter technischer Verkauf (w/m) 100%,H. Rüetschi AG  Glockenguss und Kirchturmtechnik,Aarau,Officer technical sales (w / m) 100%,N,Aargau
Sachbearbeiter technischer Verkauf (w/m) 100%,H. Rüetschi AG  Glockenguss und Kirchturmtechnik,Aarau,Officer technical sales (w / m) 100%,N,Aargau
Senior Digital Consultant 80-100%,Previon Plus AG,Aarau,Senior Consultant Digital 80-100%,N,Aargau
Team Leader Strategischer Einkauf 100% (w/m/d),Robert Half,Aarau,Team Leader Strategic Sourcing 100% (w / m / d),N,Aargau
Ausschreibung Geschäftsstelle Swiss College of Surgeons m/w 100%,Schweizerische Gesellschaft für Chirurgie,Aarau AG,Tender office Swiss College of Surgeons m / w 100%,N,Aargau
Internship Corporate Sustainability / Learning and Development,Franke Group,Aarburg,Internship Corporate Sustainability / Learning and Development,N,Aargau
