Description,Employer,Location,Translation,Multiple,State
"IT Performance Consultant (Experienced, Leads & Seniors)",Altersis Performance AG,"Basel, BS","IT Performance Consultant (Experienced, Leads & Seniors)",N,Basel
"Performance Consultant (Experienced, Lead or Senior)",Altersis Performance AG,"Basel, BS","Performance Consultant (Experienced, Lead or Senior)",N,Basel
Solution Owner,IKEA AG,Basel ( Pratteln ),Solution Owner,N,Basel
Product Manager 100% (H/F),FTI Touristik AG,Basel / Allschwil,Product Manager 100% (H / F),N,Basel
Koordinator/in Qualitätssicherung / EHS,HUBER PACKAGING AG,Basel / Baselland,Coordinator / in quality assurance / EHS,N,Basel
Operation Specialist - Beschaffung & Administration externes Personal (m/w/d),Hays (Schweiz) AG intern,Basel / Kaiseraugust,Operation Specialist - Procurement & Administration external staff (m / w / d),N,Multiple
Standortleiter/in Basel im Bereich Leasing,Careerplus AG,Basel / Mittelland,Site Manager / in Basel in leasing,Y,Multiple
ERP Consultant (m/w/d) - (80-100 %),brain-tec AG IT-Solutions,Basel oder Zürich,ERP Consultant (m / w / d) - (80-100%),Y,Multiple
Konferenz- und Veranstaltungsmanager (m/w/d),KFP Five Star Conference Service Swiss AG,Basel Zürich,Meeting (m / h / d),Y,Multiple
Cloud Consultant (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Zürich",Cloud Consultant (m / w),Y,Multiple
(Senior) Consultant Life Sciences (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Consultant Life Sciences (m / f),Y,Multiple
Business Consultant - Digital Workplace,isolutions AG,"Basel, Bern, Zürich",Business Consultant - Digital Workplace,Y,Multiple
Business Development Manager -Workplace as a Service (WaaS),isolutions AG,"Basel, Bern, Zürich",Business Development Manager -Workplace as a Service (waaS),Y,Multiple
Consultant Digital & Innovation (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Consultant Digital & Innovation (m / f),Y,Multiple
Digital Transformation Coach,isolutions AG,"Basel, Bern, Zürich",Digital Transformation Coach,Y,Multiple
Digital Workplace Padawan - Office 365 Consultant Traineeship,isolutions AG,"Basel, Bern, Zürich",Digital Workplace Padawan - Office 365 Consultant Traineeship,Y,Multiple
Head of Telecom-Consulting (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Head of Telecom Consulting (m / f),Y,Multiple
Senior Business Developer (m/w) Salesforce,adesso Schweiz AG,"Basel, Bern, Zürich",Senior Business Developer (m / f) Sales Force,Y,Multiple
Senior Digital Business Consultant Versicherungen (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Senior Digital Business Consultant Insurance (m / f),Y,Multiple
Trainer,Bionic Franchise GmbH,"Basel, Luzern, St. Gallen, Zug, Zürich",Trainer,Y,Multiple
Nachtportier/ Rezeption Temporär bis Ende April 100% mit Option auf Festanstellung,search-group.ch ag,Basel-Stadt,Night porter / reception temporarily until the end of April 100% with an option for permanent position,N,Basel
Ausbildner/in und Kursleiter/in Hubarbeitsbühnen 80 - 100%,Maltech AG,Bern und/oder Härkingen,Trainers / instructors in and / in aerial work platforms from 80 to 100%,Y,Multiple
"Inspektor und Berater für Elektroinstallationen (m/w, 100%)",,"Region Basel, Fricktal","Inspector and consultant for electrical installations (m / w, 100%)",N,Multiple
Senior Cloud Consultant,Netcloud AG,"Winterthur, Bern oder Basel",Senior Consultant Cloud,Y,Multiple
Betriebsökonom als ERP Projektleiter (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Betriebsökonom as ERP project manager (m / w / d),Y,Multiple
Senior Consultant Business Analyst ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Senior Consultant Business Analyst ERP (m / w / d),Y,Multiple
"Consultant (w/m) Advisory Performance Improvement - Supply Chain & Operations in Zurich, Basel, Laus",EY,"Zürich, Basel, Lausanne or Geneva","Consultant (w / m) Advisory Performance Improvement - Supply Chain & Operations in Zurich, Basel, Laus",Y,Multiple
Reisespezialist/in Glur Reisen Skandinavien (100%),knecht reisen ag,4009 Basel,Destination Specialists / in Glur Travel Scandinavia (100%),N,Basel
Lehrstelle Logistiker EFZ Fachrichung Lager,BWT AQUA AG,Aesch BL,Apprenticeship logisticians EFZ Fachrichung camp,N,Basel
Speditionskauffrau/Mann im Verkauf,Flaigg AG,Aesch BL,Shipping clerk / man in sale,N,Basel
Assistant Production (H/F) 100%,FTI Touristik AG,Allschwil,Production Assistant (H / F) 100%,N,Basel
Content Manager 100% (m/f),Bron Elektronik AG,Allschwil,Content Manager 100% (m / f),N,Basel
Product Manager H/F (100%),FTI Touristik AG,Allschwil,Product Manager H / F (100%),N,Basel
Lkw-Disponent/in 100%,Felix Transport AG,Arlesheim,Truck dispatcher / in 100%,N,Basel
Speditions kaufmann Spanienverkehr,BPS Speditions-Service Basel AG,Arlesheim,Freight forwarding merchant traffic Spain,N,Basel
.Disponent/in Spedition Landverkehre Imp./ Exp.,punkt personal AG,Basel,.Disponent / in forwarding overland transport Imp./ Exp.,N,Basel
Speditions kaufmann Seefracht Export,punkt personal AG,Basel,Freight forwarding merchant sea freight exports,N,Basel
