Description,Employer,Location,Translation,Multiple,State
Cloud Consultant (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Zürich",Cloud Consultant (m / w),Y,Bern
(Senior) Consultant Life Sciences (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Consultant Life Sciences (m / f),Y,Bern
Business Consultant - Digital Workplace,isolutions AG,"Basel, Bern, Zürich",Business Consultant - Digital Workplace,Y,Bern
Business Development Manager -Workplace as a Service (WaaS),isolutions AG,"Basel, Bern, Zürich",Business Development Manager -Workplace as a Service (waaS),Y,Bern
Consultant Digital & Innovation (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Consultant Digital & Innovation (m / f),Y,Bern
Digital Transformation Coach,isolutions AG,"Basel, Bern, Zürich",Digital Transformation Coach,Y,Bern
Digital Workplace Padawan - Office 365 Consultant Traineeship,isolutions AG,"Basel, Bern, Zürich",Digital Workplace Padawan - Office 365 Consultant Traineeship,Y,Bern
Head of Telecom-Consulting (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Head of Telecom Consulting (m / f),Y,Bern
Senior Business Developer (m/w) Salesforce,adesso Schweiz AG,"Basel, Bern, Zürich",Senior Business Developer (m / f) Sales Force,Y,Bern
Senior Digital Business Consultant Versicherungen (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Senior Digital Business Consultant Insurance (m / f),Y,Bern
Consultant DDI (m/w),,Bern oder Zürich,Consultant DDI (m / w),Y,Bern
Consultant ITSM (m/w),,Bern oder Zürich,Consultant ITSM (m / w),Y,Bern
Senior Product Manager Cloud 80% bis 100%,Swisscom (Schweiz) AG,Bern oder Zürich,Senior Product Manager Cloud 80% to 100%,Y,Bern
Ausbildner/in und Kursleiter/in Hubarbeitsbühnen 80 - 100%,Maltech AG,Bern und/oder Härkingen,Trainers / instructors in and / in aerial work platforms from 80 to 100%,Y,Bern
"Inspektor / Berater für Elektroinstallationen (m/w, 100%)",,"Bern, Freiburg, Solothurn","Inspector / consultant for electrical installations (m / w, 100%)",Y,Bern
Leitung Supply Chain & Logistics Consulting Practice (w/m/d),itelligence AG,"Bern, Regensdorf",Line Supply Chain & Logistics Consulting Practice (w / m / d),Y,Bern
Management Berater / Solution Architekt SAP (w/m),itelligence AG,"Bern, Regensdorf",Management Consultant / Solution Architect SAP (m / f),Y,Bern
Senior Berater Produktionsprozesse in der Life Science und Prozess Industrie (w/m/d),itelligence AG,"Bern, Regensdorf",Senior Advisor production processes in life science and process industries (w / m / d),Y,Bern
Senior SAP VIM Berater (w/m),itelligence AG,"Bern, Regensdorf",Senior SAP VIM Consultants (w / m),Y,Bern
Principal Consultant Enterprise Architect,ERNI Schweiz AG,Bern/ Zürich,Principal Consultant Enterprise Architect,Y,Bern
Product Owner,ERNI Schweiz AG,Bern/ Zürich,Product Owner,Y,Bern
Service Operations Director (w/m/d),Schneider Electric (Schweiz) AG,"Wettingen (bei Baden), Ittigen (bei Bern) oder Ren",Service Operations Director (w / m / d),Y,Bern
Service Operations Director (w/m/d),Schneider Electric (Schweiz) AG,"Wettingen (bei Baden), Ittigen (bei Bern) oder Ren",Service Operations Director (w / m / d),Y,Bern
Senior Cloud Consultant,Netcloud AG,"Winterthur, Bern oder Basel",Senior Consultant Cloud,Y,Bern
Berater/in für Abacus Projekte (mit Fokus Lohn / HR),Customize AG,"Winterthur, Zürich, Bern und St.Gallen",Consultant / in for Abacus Projects (focusing wage / HR),Y,Bern
Spezialist*in HR Administration 60%,Xovis AG,Zollikofen/Bern,* Specialist in HR Administration 60%,Y,Bern
