Description,Employer,Location,Translation,Multiple,State
Sachbearbeiter Order Management (w/m) 100 %,PFISTERER Switzerland AG,Malters / Luzern,Order Management Officer (m / f) 100%,N,Luzern
Trainer,Bionic Franchise GmbH,"Basel, Luzern, St. Gallen, Zug, Zürich",Trainer,Y,Multiple
Trainee Business Development (m/w) 100%,,Cham ZG und Zürich Stadt ZH,Trainee Business Development (m / w) 100%,Y,Zug
Einkäufer/in,A. Tschümperlin AG,Luzern / Zug / Schwyz / Aarau / Zürich,Buyer / in,Y,Multiple
Logistiker EFZ (m/w),A. Tschümperlin AG,Luzern / Zug / Schwyz / Aargau / Zürich,Logistiker EFZ (m / w),Y,Multiple
Leiterin/Leiter Payroll Services 80-100% - Luzern / Zürich,Avenir Group AG,Luzern / Zürich,Director / Head of Payroll Services 80-100% - Lucerne / Zurich,Y,Luzern
Payroll Mandatsleiter/in 80-100% - Luzern oder Zürich,Avenir Group AG,Luzern / Zürich,Payroll account manager / in 80-100% - Lucerne or Zurich,Y,Luzern
Standort HR LeiterIn,Ultimativo Consulting GmbH,Olten / Luzern,Location HR LeiterIn,Y,Luzern
Mitarbeiter Sachbearbeitung Einkauf (m/w) (100%),job impuls ag,Region Zentralschweiz,Clerical Employees (m / w) (100%),Y,Multiple
Consultants QM/RA (m/w/d) für den Bereich Medizintechnik,EXCO Consulting GmbH,Root/Rotkreuz,Consultants QM / RA (f / m / d) for the Medical Technology,Y,Multiple
"Verantwortliche/r Geschäftsfeld ICT, Mandatsleiter/in",Jörg Lienert AG,Schweiz,"Responsible / r business unit ICT, the audit / in",Y,Multiple
Teamleiter Entwicklung m/w,"oprandi & partner ag, bern",Schweiz und international,Team Leader Development m / w,Y,Multiple
"Leiter Finanzen & Personal (w/m), 80% - 100%",HCC / Human Competence Center,Zentralschweiz,"Head of Finance & Human Resources (m / w), 80% - 100%",Y,Multiple
Leiter Strassentransport / Disposition,HCC / Human Competence Center,Zentralschweiz,Head of Road Transport / Disposition,Y,Multiple
MARKETING- UND PRODUKTMANAGER/IN INTERNATIONAL,Medici & Sprecher AG,Zentralschweiz,MARKETING AND PRODUCT MANAGER / IN INTERNATIONAL,Y,Multiple
Marketingverantwortliche (40 bis 60 %),Amrein Futtermühle AG,Zentralschweiz,Marketing managers (40 to 60%),Y,Multiple
Projekteinkäufer 80 - 100% (m/w),HAGER AG,Zentralschweiz,Projekteinkäufer 80-100% (w / w),Y,Multiple
Teamleader Human Resources,Ultimativo Consulting GmbH,Zentralschweiz,Team Leader Human Resources,Y,Multiple
Direktionsassistent/-in,ABG Holding AG,Zürich und Zug,Assistant Manager / -in,Y,Zug
Kader-Praktikum feRUS hotel 100%,Sinnvoll Dienstleistungen GmbH,6020 Emmenbrücke,Squad internship feRUS hotel 100%,N,Luzern
Betriebsleiter Hotel & Restaurant Kaiserstuhl 100%,Sinnvoll Dienstleistungen GmbH,6078 Lungern,Superintendent Hotel & Restaurant Kaiserstuhl 100%,N,Obwalden
Aushilfe Restauration Drei Könige 50%,Sinnvoll Dienstleistungen GmbH,6162 Entlebuch,Temporary help restoration Magi 50%,N,Luzern
Kader Praktikum Drei Könige 100%,Sinnvoll Dienstleistungen GmbH,6162 Entlebuch,Executive Internship Three Kings 100%,N,Luzern
Geschäftsführerin / Geschäftsführer 100%,its1world Gruppe AG,6300 Zug,Managing Director / CEO 100%,N,Zug
