Description,Employer,Location,Translation,Multiple,State
"Conseiller/ère en voyages, 100%",,"Genève, Centre Balexert","Counselor / travel era, 100%",N,Geneva
Brand Designer,,"Geneva, Zurich",Brand Designer,Y,Geneva
CRM & Marketing Automation Consultant,,"Geneva, Zurich",CRM Marketing Automation Consultant,Y,Geneva
Product Marketing Manager,,"Geneva, Zurich",Product Marketing Manager,Y,Geneva
Product Owner,,"Geneva, Zurich",Product Owner,Y,Geneva
VP Engineering,,"Geneva, Zurich",VP Engineering,Y,Geneva
Product Manager Hosting & Cloud Services à 100 % (H/F),VTX Telecom SA,Genève ou Lausanne | GE/VD,Product Manager Hosting & Cloud Services à 100% (H / F),Y,Geneva
Consultant(e) Atlassian Junior (H/F),Serial SA,"Genève, Lausanne",Consultant (e) Atlassian Junior (H / F),Y,Geneva
Ingénieur(e) Qualité / ALM / Atlassian (H/F),Serial SA,"Genève, Lausanne",Engineer (e) Quality / ALM / Atlassian (M / F),Y,Geneva
Brand Manager,,"Zurich, Geneva",Brand Manager,Y,Geneva
Logistics (m/w/d),Collini AG,Biel,Logistics (m / f / d),N,Bern
Kundendienstberater/in für die Marken Jaguar und Land Rover mit Potential zum Teamleiter/in,,Biel/Brügg BE,Customer Service Advisor / in for the brands Jaguar and Land Rover with potential to team leader / in,N,Bern
Responsable de foyer adjointe (f/h/d),ORS,Boudry,Responsible for home Assistant (f / h / d),N,Valais
DMP Junior Specialist,Isobar,Carouge,DMP Junior Specialist,N,Geneva
DMP Junior Specialist,Isobar,Carouge,DMP Junior Specialist,N,Geneva
"Stagiaire en Marketing Digital 100% ou à convenir, Stage de 6 mois pouvant déboucher sur un emploi fixe",,Carouge / Genève,Trainee Digital Marketing 100% or agree to 6-month internship that could lead to a permanent job,N,Geneva
Food&Beverage - Management Trainee,,CH 1201 Genève,Food & Beverage - Management Trainee,N,Geneva
Marketing Project Manager - Bern,Enigma SA,CH 1201 Genève,Marketing Project Manager - Bern,N,Geneva
Executive Management Assistant,,CH 1202 Genève,Executive Management Assistant,N,Geneva
