Description,Employer,Location,Translation,Multiple,State
Senior Human Resources Manager 100% (f/m),Aduno Gruppe,Bedano,Senior Human Resources Manager 100% (f / m),N,Ticino
Regionalleiter/in Digital Field Force Süd 80 - 100%,Schweizerische Bundesbahnen SBB,Biasca,Regional Manager / in Digital Field Force South 80-100%,N,Ticino
Head of Planning Reporting and Cost Base Control,,CH 6830 Chiasso,Head of Planning Reporting and Cost Base Control,N,Ticino
Infosecurity Specialist and Product Owner,,CH 6830 Chiasso,Information Security Specialist and Product Owner,N,Ticino
Product Marketing Manager,,CH 6830 Chiasso,Product Marketing Manager,N,Ticino
Avaloq Senior Consultants (International Projects),,CH 6900 Lugano,Avaloq Senior Consultants (International Projects),N,Ticino
Catering Supervisor / Camp Boss,,CH 6917 Barbengo,Catering Supervisor / Camp Boss,N,Ticino
Restaurantfachfrau-mann,,CH 7000 Chur,Restaurantfachfrau-man,N,Graubünden
Restaurationsfachfrau/mann EFZ 60-80%,,CH 7001 Chur,Restoration expert / man EFZ 60-80%,N,Graubünden
Alleinsekretärin / Assistentin der GL 100%,,CH 7018 Flims Waldhaus,Alone secretary / assistant to the GL 100%,N,Graubünden
Allrounder/in Gastro,Sportbahnen Hochwang AG,CH 7028 St. Peter,Allrounder / in Gastro,N,Graubünden
Produktmanager / in Rhein 80%,,CH 7130 Ilanz,Product Manager / in Rhein 80%,N,Graubünden
Lehrstelle als Hotelfachfrau,,CH 7134 Obersaxen,Apprenticeship as Hotelfachfrau,N,Graubünden
Lehrstelle als Restaurationsfachfrau,,CH 7134 Obersaxen,Apprenticeship as a restoration expert,N,Graubünden
Technischer Einkäufer,,CH 7205 Zizers,Technical Purchaser,N,Graubünden
Restaurantfachmann- /frau,,CH 7260 Davos,Restaurantfachmann- / woman,N,Graubünden
Eine Lehrtochter Hotelfachassistentin,,CH 7270 Davos Platz,An apprentice Hotel Management Assistant,N,Graubünden
"Disponent/in mit sehr guten Italienisch-, Französisch- und Deutsch-Kenntnissen",,CH 7302 Landquart,"Booker / in with very good Italian, French and German skills",N,Graubünden
Sachbearbeiter Export (m/w),Landqart AG,CH 7302 Landquart,Export Agent (m / m),N,Graubünden
Lohn Praktikum,,CH 7421 Summaprada,rewarding internship,N,Graubünden
Floor Supervisor,,CH 7500 St. Moritz,Floor Supervisor,N,Graubünden
Gästeberater Celerina,,CH 7500 St. Moritz,Guests consultant Celerina,N,Graubünden
Betriebsassistenten / Betriebsassistentin für eine 100% Stelle ab sofort oder nach Vereinbahrung,,CH 7550 Scuol,Operating assistant / administrative assistant for a 100% place immediately or by appointment,N,Graubünden
Trainee HR (m/w),AMAG Group,Cham,HR trainee (m / f),N,Zug
ReiseberaterIn mit Stellvertretungsfunktion Chur (80 - 100% - m/w),DER Touristik Suisse,Chur,Travel agent with substitution function Chur (80 - 100% - m / w),N,Graubünden
"Stv. FilialleiterIn Chur, 100%",Globetrotter Travel Service AG,Chur,"Deputy. Branch Manager Chur, 100%",N,Graubünden
Assistant F&B Manager (m/w/d),,Graubunden Davos Dorf.,Assistant R & B (m / h / d),N,Graubünden
F&B Service Trainee (m/w/d) Sommersaison 2020,,Graubunden Davos Dorf.,F & B Service trainee (m / f / d) summer season 2020,N,Graubünden
Floor Supervisor (m/w/d) Sommersaison 2020,,Graubunden Davos Dorf.,Floor Supervisor (m / f / d) summer season 2020,N,Graubünden
Guest Relation Manager (m/w/d),,Graubunden Davos Dorf.,Guest Relation Manager (m / w / d),N,Graubünden
Outlet Manager / Restaurant Manager (m/w/d),,Graubunden Davos Dorf.,Outlet Manager / Restaurant Manager (m / w / d),N,Graubünden
Restaurant Supervisor (m/w/d),,Graubunden Davos Dorf.,Restaurant Supervisor (m / w / d),N,Graubünden
Steward (m/w/d) Sommersaison 2020,,Graubunden Davos Dorf.,Steward (m / h / d) summer season 2020,N,Graubünden
Chief Steward (m/w/d),,Graubünden Davos Dorf.,Chief Steward (m / h / d),N,Graubünden
"Gastronom (m/w) oder Gastro-Paar als Pächter, für drei Betriebe in Klosters / Parsenn",swisselect ag,Klosters,Restaurateur (m / w) or gastro-pair as a tenant for three plants in Klosters / Parsenn,N,Graubünden
Disponent/in (80-100%),,Landquart,MRP / in (80-100%),N,Graubünden
Fahrdienstleiter/in (80-100%),,Landquart,Dispatcher / in (80-100%),N,Graubünden
Stv. Leiter/in Thermische Fahrzeuge (80-100%),,Landquart,Deputy. / In Thermal vehicles (80-100%),N,Graubünden
Lernende/r Systemgastronomiefachfrau/-mann EFZ (Beginn 2020),,Maienfeld,Learning / r Systemgastronomie / -mann EFZ (start 2020),N,Graubünden
Stellvertretender Leiter Réception (m/w),,Maienfeld,Deputy Director Reception (m / w),N,Graubünden
Apprendista Impiegato/Impiegata di gastronomia standardizzata AFC (Inizio 2020),,Monte Carasso,Apprentice Clerk / Clerk AFC standardized food (Early 2020),N,Ticino
HR Business Partner 50% (W/M),Bouygues Energies & Services InTec Svizzera SA,Rivera,HR Business Partner 50% (W / M),N,Ticino
"HR Business Partner, 80-100%",ORIOR Gruppe,Schiers,"HR Business Partner, 80-100%",N,Graubünden
Food & Beverage Trainee - (in English),,St. Moritz,Food & Beverage Trainee - (in English),N,Graubünden
Food & Beverage Trainee - (in German),,St. Moritz,Food & Beverage Trainee - (in German),N,Graubünden
HR Assistant (m/w) in Jahresanstellung,"AG GRAND HOTELS ENGADINERKULM, Kulm Hotel",St. Moritz,HR Assistant (m / w) in years appointing,N,Graubünden
