Description,Employer,Location,Translation,Multiple,State
Economy betriebs als ERP Projektleiter (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Economy operation as the ERP project (m / w / d),Y,Valais
Senior Consultant Business Analyst ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Senior Consultant Business Analyst ERP (m / w / d),Y,Valais
6-12 Monate Praktikum als HR Trainee,Salt Mobile SA,Biel,6-12 month internship as a HR trainee,N,Bern
Animateur/ -in Schweizer Ski- und Snowboardschule,Touristische Unternehmung Grächen AG,CH 3925 Grächen,Animator / -in Swiss Ski and Snowboard School,N,Valais
Animateur/in,,CH 3925 Grächen,Moderator / in,N,Valais
"Betriebsleiter/-in, 100%",Schweizer Jugendherbergen,Crans-Montana,Plant Manager / -in 100%,N,Valais
CEO Touristische Unternehmung Grächen AG,Touristische Unternehmung Grächen AG,Grächen,CEO Tourist company Grächen AG,N,Valais
CEO Touristische Unternehmung Grächen AG (TUG),Touristische Unternehmung Grächen AG,CH 3925 Grächen,CEO Tourist company Grächen AG (TUG),N,Valais
Content & Social Media Manager,,Brig,Content & Social Media Manager,N,Valais
Content & Social Media Manager 60-100%,My Leukerbad AG,CH 3954 Leukerbad,Content & Social Media Manager 60-100%,N,Valais
DIREKTOR / DIREKTORIN,,CH 3960 Sierre,DIRECTOR / DIRECTOR,N,Valais
Geschäftsführer/in Bergbahnen,Bergbahnen Hohsaas AG,Saas-Grund,Manager / in cable cars,N,Valais
"motivierten, aufgestellten und lernwilligen Lehrling (Hotelfachmann/frau oder Servicefachmann/frau)",,CH 3935 Bürchen,"motivated, prepared and willing to learn Apprentice (Hotel / frau or service specialist / woman)",N,Valais
Organisations-/Unternehmensberater/in,,3904 Naters,Organizational / management consultant / in,N,Valais
Partner Manager_in 80-100 %,Quickline AG,Biel,Partner Manager_in 80-100%,N,Bern
Praktikum Marketing (Kommunikation),,Brig,Internship Marketing (Communications),N,Valais
Praktikum Marketing (Produktmanagement),Matterhorn Gotthard Bahn,Brig,Internship Marketing (Product Management),N,Valais
Praktikum Marketing (Produktmanagement),,Brig,Internship Marketing (Product Management),N,Valais
