Description,Employer,Location,Translation,Multiple,State
"Inspektor / Berater für Elektroinstallationen (m/w, 100%)",,Region Zürich / Glarnerland,"Inspector / consultant for electrical installations (m / w, 100%)",Y,Glarus
Consultant Haufe umantis (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant Haufe umantis (w / m / d),Y,Schaffhausen
Consultant Time Management (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant Time Management (w / m / d),Y,Schaffhausen
HR People - die Community für externe HR Profis,HR Campus AG,Region Zürich / Schaffhausen,HR People - the community for external HR professionals,Y,Schaffhausen
HR People - die Community für externe Payroll Profis,HR Campus AG,Region Zürich / Schaffhausen,HR People - the community for external Payroll Professionals,Y,Schaffhausen
Senior Consultant SuccessFactors (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Senior Consultant Success Factor (w / m / d),Y,Schaffhausen
Lehrstelle Strassentransportfachfrau / -mann EFZ,Sieber Transport AG,9442 Berneck,Apprenticeship Road Transport / -mann EFZ,N,Sankt Gallen
Betriebsleiter/in 100%,Activ Fitness AG,Buchs,Superintendent /% in 100,N,Sankt Gallen
Lehrstelle 2020 als Kauffrau-/mann in Buchs SG - Branche Reisebüro,DER Touristik Suisse,Buchs,Apprenticeship in 2020 as Kauffrau- / man in Buchs SG - industry travel agency,N,Sankt Gallen
HR Business Partner 80-90%,Universal-Job,Buchs SG,HR Business Partner 80-90%,N,Sankt Gallen
Einkäufer (m/w),Geberit AG,CH - Rapperswil/Jona,Purchaser (m / w),N,Sankt Gallen
Global Business Developer OEM (m/f),Geberit AG,CH - Rapperswil/Jona,Global Business Developer OEM (m / f),N,Sankt Gallen
IT Product Owner of Multichannel Data Platform (m/w),Geberit AG,CH - Rapperswil/Jona,IT Product Owner of Multichannel Data Platform (m / f),N,Sankt Gallen
Projektleiter Produkte (m/w),Geberit AG,CH - Rapperswil/Jona,Project Products (m / f),N,Sankt Gallen
Qualitäts planer Elektro/Elektronik (m/w),Geberit AG,CH - Rapperswil/Jona,Quality planner electrical / electronics (m / f),N,Sankt Gallen
Qualitäts planer Mechanik (m/w),Geberit AG,CH - Rapperswil/Jona,Quality planner mechanics (m / f),N,Sankt Gallen
Sachbearbeiter Import / Export (m/w) (befristet bis 30.11.2020),Geberit AG,CH - Rapperswil/Jona,Agent Import / Export (m / w) (limited until 11.30.2020),N,Sankt Gallen
Training and Education Manager (m/w),Geberit AG,CH - Rapperswil/Jona,Training and Education Manager (m / f),N,Sankt Gallen
Lehrstelle als Hotelfachfrau/Hotelfachmann,Grand Resort Bad Ragaz AG,CH 7310 Bad Ragaz,Apprenticeship as a hotel manager / Hotelfachmann,N,Sankt Gallen
Lehrstelle als Restaurantfachfrau/mann,Grand Resort Bad Ragaz AG,CH 7310 Bad Ragaz,Apprenticeship as a restaurant specialist / man,N,Sankt Gallen
Disponent Sondertransporte & Kranarbeiten (w/m),,CH 7320 Sargans,Booker special transport and crane work (w / m),N,Sankt Gallen
Produktmanager Finanz- und Rechnungswesen 100% (w/m),PROFFIX Software AG,CH 7323 Wangs,Product Manager finance and accounting 100% (w / w),N,Sankt Gallen
PROFFIX Consultant im Bereich Finanz- und Rechnungswesen 80-100% (w/m),PROFFIX Software AG,CH 7323 Wangs,PROFFIX consultant in finance and accounting from 80 to 100% (w / w),N,Sankt Gallen
Alpencross-Tourguide,,CH 8638 Goldingen,Alpencross Tour Guide,N,Sankt Gallen
Vielseitiges Praktikum im Online Marketing,GRYPS Offertenportal AG,CH 8640 Rapperswil SG,Versatile internship in online marketing,N,Sankt Gallen
Marketing- und Sales Assistenz,Keyon AG,CH 8645 Jona,Marketing and Sales Assistant,N,Zurich
Microsoft Engineer / Consultant im Bereich O365 / IAM / EMS,Keyon AG,CH 8645 Jona,Microsoft Engineer / Consultant for O365 / IAM / EMS,N,Zurich
Gastgeber/-in gesucht!,,CH 8784 Braunwald,Host / -in wanted!,N,Glarus
Gastgeber/-in gesucht!,,CH 8784 Braunwald,Host / -in wanted!,N,Glarus
Leiter/Leiterin Gastronomie,,CH 8784 Braunwald,Director / Head of Gastronomy,N,Glarus
Leiter/Leiterin Gastronomie,,CH 8784 Braunwald,Director / Head of Gastronomy,N,Glarus
Hotelfachfrau mit Fachausweis,,CH 8872 Weesen,Hotel management program with certificate,N,Sankt Gallen
"Restaurationsfachfrau (m/w, 80-100 %)",Marina Walensee AG,CH 8882 Unterterzen,"Restoration specialist (m / w, 80-100%)",N,Sankt Gallen
ONLINE MARKETING MANAGER (m/w),,CH 9424 Rheineck,ONLINEMARKETING AGENT (m / w),N,Sankt Gallen
"Bereit für eine neue Herausforderung? Dann freuen wir uns auf Ihre Bewerbung - für eine unserer offenen Stellen oder initiativ. Wir freuen uns darauf, Sie kennen zu lernen! Per sofort suchen wir einen Se nior PLM Consultant (m/w)",,CH 9442 Berneck,"Ready for a new challenge? We look forward to receiving your application - for one of our vacancies or unsolicited. We are looking forward to meet you! By now, we are looking for a Se nior PLM Consultant (m / w)",N,Sankt Gallen
Juni or PLM Consultant (m/w),,CH 9442 Berneck,June or PLM Consultant (m / w),N,Sankt Gallen
Social Media Performance Manager,digicube AG,CH 9470 Buchs,Social Media Performance Manager,N,Sankt Gallen
HR - Specialist (m / w) 100%,Workmanagement AG,Glarus,HR - Specialist (m / w) 100%,N,Glarus
Personalassistentin gesucht (m/w/d),"Universal-Job AG, Rapperswil",Glarus,wanted Personal Assistant (m / w / d),N,Glarus
Teamleiter Disposition (m/w),Workmanagement AG,Glarus,Team leader disposition (m / w),N,Glarus
EXPORTSACHBEARBEITER (M/W/D),Sulzer AG,Haag,Exportsachbearbeiter (M / W / D),N,Sankt Gallen
Betriebsleiter/in 100%,Activ Fitness AG,Jona,Superintendent /% in 100,N,Sankt Gallen
Sachbearbeiterin Personal und Administration 70-100%,"Universal-Job AG, Frauenfeld",Kreuzlingen,Clerk Personnel and Administration 70-100%,N,Thurgau
