Description,Employer,Location,Translation,Multiple,State
"Inspektor / Berater für Elektroinstallationen (m/w, 100%)",,Region Zürich / Glarnerland,"Inspector / consultant for electrical installations (m / w, 100%)",Y,Zurich
Consultant Haufe umantis (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant Haufe umantis (w / m / d),Y,Schaffhausen
Consultant Time Management (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant Time Management (w / m / d),Y,Schaffhausen
HR People - die Community für externe HR Profis,HR Campus AG,Region Zürich / Schaffhausen,HR People - the community for external HR professionals,Y,Schaffhausen
HR People - die Community für externe Payroll Profis,HR Campus AG,Region Zürich / Schaffhausen,HR People - the community for external Payroll Professionals,Y,Schaffhausen
Senior Consultant SuccessFactors (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Senior Consultant Success Factor (w / m / d),Y,Schaffhausen
Senior Cloud Consultant,Netcloud AG,"Winterthur, Bern oder Basel",Senior Consultant Cloud,Y,Zurich
Berater/in für Abacus Projekte (mit Fokus Lohn / HR),Customize AG,"Winterthur, Zürich, Bern und St.Gallen",Consultant / in for Abacus Projects (focusing wage / HR),Y,Zurich
HR Fachperson mit Fokus Payroll & internationalem HRM (40% -60%) (Mutterschaftsvertretung befristet auf ca. 12 Monate),Linde Kryotechnik AG,8422 Pfungen,(Temporary maternity representation at approximately 12 months) HR expert with focus Payroll & HRM international (40% -60%),N,Zurich
HR Specialist (w/m/d),Linde Kryotechnik AG,8422 Pfungen,HR Specialist (w / m / d),N,Zurich
Product Manager (w/m/d),Linde Kryotechnik AG,8422 Pfungen,Product Manager (m / f / d),N,Zurich
Cabin Crew Members,,CH 8152 Glattbrugg,Cabin Crew Members,N,Zurich
Consultant im Bereich Immobilienverwaltung und Finanz-/ Rechnungswesen mit Abacus ERP,BEWIDA AG,CH 8152 Glattbrugg,Consultant in property management and finance / accounting with Abacus ERP,N,Zurich
Consultant im Bereich Payroll und Human Resources Management mit Abacus ERP,BEWIDA AG,CH 8152 Glattbrugg,Consultant in the Payroll and Human Resources Management with Abacus ERP,N,Zurich
"E-Commerce Manager (100%, m/w)",,CH 8152 Glattbrugg,"E-Commerce Manager (100%, m / w)",N,Zurich
Fachspezialist Flottenmanagement / ECM 3,,CH 8152 Glattbrugg,Specialist Fleet management / ECM 3,N,Zurich
Fachspezialist Text und Online Marketing,,CH 8152 Glattbrugg,Specialist text and online marketing,N,Zurich
Sachbearbeiter Einkauf,,CH 8152 Glattbrugg,clerk Shopping,N,Zurich
Senior Talend Consultant (w/m) (80-100%),Polynorm Software AG,CH 8152 Glattbrugg,Senior Talend Consultant (w / m) (80-100%),N,Zurich
Kaufmännische/r Werbe-Assistent/in 60-100%,,CH 8152 Opfikon,Commercial / r advertising wizard / in 60-100%,N,Zurich
Kurier,,CH 8180 Bülach,courier,N,Zurich
Personalfachfrau/mann,,CH 8180 Bülach,/ Man Personalfachfrau,N,Zurich
Umzugsmitarbeiter mit Erfahrung (Abruf),,CH 8180 Bülach,Moving personnel with experience (polling),N,Zurich
Werbeverteiler,,CH 8180 Bülach,advertising distribution,N,Zurich
Umzugshilfen (auf Stundenbasis),Schäfli Transporte,CH 8200 Schaffhausen,Moving aids (hourly),N,Schaffhausen
Veranstaltungs-Fachmann / Fachfrau (EFZ) 60 - 100%,,CH 8207 Schaffhausen,Event skilled / expert (EFZ) 60-100%,N,Schaffhausen
Social Media & Content Marketing Praktikant/-in,,CH 8212 Neuhausen am Rheinfall,Social Media & Content Marketing Intern / -in,N,Schaffhausen
1. Konzertmeister/in mit Sondervertrag,,CH 8400 Winterthur,1. Concertmaster / in special contract,N,Zurich
Leiter Marketing und Geschäftsentwicklung (m/w),Park Hotel Winterthur AG,CH 8400 Winterthur,Head of Marketing and Business Development (m / f),N,Zurich
Marketing und Sales Manager (m/w) 60-80%,Premotec GmbH,CH 8400 Winterthur,Marketing and Sales Manager (m / w) 60-80%,N,Zurich
motivierte Restaurations fachfrau mit eidg. Abschluss oder Berufserfahrung,,CH 8400 Winterthur,motivated restoration professional woman with Federal. Degree or work experience,N,Zurich
Online Marketing Mitarbeiter/in (m/w) - 100%,netpulse AG,CH 8400 Winterthur,Online Marketing / in (m / f) - 100%,N,Zurich
Platzanweiser/in im Teilzeitpensum,KIWI KINOS AG,CH 8400 Winterthur,Usher / in the part-time basis,N,Zurich
Praktikum Content Marketing Konzepter/Texter (m/w),,CH 8400 Winterthur,Internship content marketing concept developer / copywriter (m / f),N,Zurich
Reisefachfrau ab sofort 50%-80%,,CH 8400 Winterthur,Travel specialist now 50% -80%,N,Zurich
Reiseleiterinnen,,CH 8400 Winterthur,Tour guides,N,Zurich
Restaurationsfachfrau / -mann EFZ,,CH 8400 Winterthur,Restoration / -mann EFZ,N,Zurich
"Stellvertretende/r Betriebsleiter/in (20-60%, im Stundenlohn, Do. - Sa.)",,CH 8400 Winterthur,"Vice / r manager / in (20-60% on an hourly basis, Thu - Sa.)",N,Zurich
"Werden Sie Teil des PROSE-Teams in Bern als Senior Consultant, 80-100%!",PROSE AG,CH 8400 Winterthur,"Become part of the PROSE team in Bern as a senior consultant, 80-100%!",N,Zurich
Associate Director Business Development,Zimmer GmbH,CH 8404 Winterthur,Associate Director of Business Development,N,Zurich
Continuous Improvement Engineer 100% m/f,Zimmer GmbH,CH 8404 Winterthur,Continuous Improvement Engineer 100% m / f,N,Zurich
Director Pricing EMEA 100%,Zimmer GmbH,CH 8404 Winterthur,Director EMEA Pricing 100%,N,Zurich
Learning and Development Specialist 100% W/M,Zimmer GmbH,CH 8404 Winterthur,Learning and Development Specialist 100% W / M,N,Zurich
Shopfloor Leader Warehouse 100% w/m,Zimmer GmbH,CH 8404 Winterthur,Shop Floor Leader Warehouse 100% w / m,N,Zurich
Intern Marketing & Communication 80-100% (m/f),,CH 8406 Winterthur,International Marketing & Communication 80-100% (m / f),N,Zurich
Restaurationsfachmann/ Restaurationsfachfrau,,CH 8408 Winterthur,Restoration specialist / restoration specialist,N,Zurich
