Description,Employer,Location,Translation,Multiple,State
Purchaser / Buyer – Operational Excellence Supply Chain Management (80 – 100%),ABB Switzerland Ltd.,Zürich / Oerlikon,Purchaser / Buyer - Operational Excellence Supply Chain Management (80 - 100%),N,Zurich
Konferenz und Veranstaltungsmanager (m/w/d),KFP Five Star Conference Service Swiss AG,Basel Zürich,Conference and event manager (m / w / d),Y,Zurich
Cloud Consultant (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Zürich",Cloud Consultant (m / w),Y,Zurich
(Senior) Consultant Life Sciences (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Consultant Life Sciences (m / f),Y,Zurich
Business Consultant - Digital Workplace,isolutions AG,"Basel, Bern, Zürich",Business Consultant - Digital Workplace,Y,Zurich
Business Development Manager -Workplace as a Service (WaaS),isolutions AG,"Basel, Bern, Zürich",Business Development Manager -Workplace as a Service (waaS),Y,Zurich
Consultant Digital & Innovation (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Consultant Digital & Innovation (m / f),Y,Zurich
Digital Transformation Coach,isolutions AG,"Basel, Bern, Zürich",Digital Transformation Coach,Y,Zurich
Digital Workplace Padawan - Office 365 Consultant Traineeship,isolutions AG,"Basel, Bern, Zürich",Digital Workplace Padawan - Office 365 Consultant Traineeship,Y,Zurich
Head of Telecom-Consulting (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Head of Telecom Consulting (m / f),Y,Zurich
Senior Business Developer (m/w) Salesforce,adesso Schweiz AG,"Basel, Bern, Zürich",Senior Business Developer (m / f) Sales Force,Y,Zurich
Senior Digital Business Consultant Versicherungen (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Senior Digital Business Consultant Insurance (m / f),Y,Zurich
Trainer,Bionic Franchise GmbH,"Basel, Luzern, St. Gallen, Zug, Zürich",Trainer,Y,Zurich
"Oracle Database Consultant - Basel, Zürich oder Bern",,"Basel, Zürich oder Bern","Oracle Database Consultant - Basel, Zurich or Bern",Y,Zurich
Consultant DDI (m/w),,Bern oder Zürich,Consultant DDI (m / w),Y,Zurich
Consultant ITSM (m/w),,Bern oder Zürich,Consultant ITSM (m / w),Y,Zurich
Senior Product Manager Cloud 80% bis 100%,Swisscom (Schweiz) AG,Bern oder Zürich,Senior Product Manager Cloud 80% to 100%,Y,Zurich
Leitung Supply Chain & Logistics Consulting Practice (w/m/d),itelligence AG,"Bern, Regensdorf",Line Supply Chain & Logistics Consulting Practice (w / m / d),Y,Zurich
Management Berater / Solution Architekt SAP (w/m),itelligence AG,"Bern, Regensdorf",Management Consultant / Solution Architect SAP (m / f),Y,Zurich
Senior Berater Produktionsprozesse in der Life Science und Prozess Industrie (w/m/d),itelligence AG,"Bern, Regensdorf",Senior Advisor production processes in life science and process industries (w / m / d),Y,Zurich
Senior SAP VIM Berater (w/m),itelligence AG,"Bern, Regensdorf",Senior SAP VIM Consultants (w / m),Y,Zurich
Principal Consultant Enterprise Architect,ERNI Schweiz AG,Bern/ Zürich,Principal Consultant Enterprise Architect,Y,Zurich
Product Owner,ERNI Schweiz AG,Bern/ Zürich,Product Owner,Y,Zurich
Trainee Business Development (m/w) 100%,,Cham ZG und Zürich Stadt ZH,Trainee Business Development (m / w) 100%,Y,Zurich
Strategic Procurement Manager IT (m/w),Inventx AG,"Chur, SG oder Brüttisellen (ab Herbst  Flughafen",Strategic Procurement Manager IT (m / w),Y,Zurich
Strategy & Innovation Manager (m/w) 80-100%.,MS Direct AG,Dübendorf / St. Gallen,Strategy & Innovation Manager (m / w) 80-100%.,Y,Zurich
Sachbearbeiter (m/w/d) Export Landverkehre,,"Embrach, Zürich",Agent (m / m / d) exporting country traffics,Y,Zurich
Portfolio & Sales Development Manager Connectivity & Security (m/w),,"Europe, Switzerland, Wallisellen",Portfolio & Sales Development Manager Connectivity & Security (m / w),Y,Zurich
Manager Board Office m/w/d,Scout24 Schweiz AG,Flamatt oder Zürich,Manager Board Office m / f / d,Y,Zurich
Manager Board Office m/w/d,Scout24 Schweiz AG,Flamatt oder Zürich,Manager Board Office m / f / d,Y,Zurich
Manager Board Office m/w/d,Scout24 Schweiz AG,Flamatt oder Zürich,Manager Board Office m / f / d,Y,Zurich
Manager Board Office m/w/d,Scout24 Schweiz AG,Flamatt oder Zürich,Manager Board Office m / f / d,Y,Zurich
Marketing Manager B2C ImmoScout24 w/m/d,Scout24 Schweiz AG,Flamatt oder Zürich,Marketing Manager B2C ImmoScout24 w / m / d,Y,Zurich
Brand Designer,,"Geneva, Zurich",Brand Designer,Y,Zurich
CRM & Marketing Automation Consultant,,"Geneva, Zurich",CRM Marketing Automation Consultant,Y,Zurich
Product Marketing Manager,,"Geneva, Zurich",Product Marketing Manager,Y,Zurich
Product Owner,,"Geneva, Zurich",Product Owner,Y,Zurich
VP Engineering,,"Geneva, Zurich",VP Engineering,Y,Zurich
Online Marketing Manager 80-100% (m/w),MS Direct AG,St. Gallen / Dübendorf,Online Marketing Manager 80-100% (w / w),Y,Sankt Gallen
Office Professional (gn) for DACH - Technology Services,SoftwareONE AG,Wallisellen oder München,Office Professional (gn) for ROOF - Technology Services,Y,Zurich
Operations Support Specialist (gn) - DACH,SoftwareONE AG,Wallisellen oder München,Operations Support Specialist (gn) - DACH,Y,Zurich
Senior Business Consultant im Bereich Motorfahrzeugversicherung und/oder KFZ Versicherung,Adcubum AG,"Wallisellen, Hamburg, Düsseldorf oder Stuttgart",Senior Business Consultant in the motor vehicle insurance and / or car insurance,Y,Zurich
Berater/in für Abacus Projekte (mit Fokus Lohn / HR),Customize AG,"Winterthur, Zürich, Bern und St.Gallen",Consultant / in for Abacus Projects (focusing wage / HR),Y,Zurich
Service Marketing & Contract Specialist 80-100%,Siemens Healthcare AG,"Zuerich, CH-ZH",Service Marketing & Contract Specialist 80-100%,Y,Zurich
Principal Consultant Enterprise Architect,ERNI Schweiz AG,Zürich / Bern,Principal Consultant Enterprise Architect,Y,Zurich
Business Consultant m/w/d,Scout24 Schweiz AG,Zürich / Flamatt,Business Consultant m / f / d,Y,Zurich
Product Manager ImmoScout24 w/m/d,Scout24 Schweiz AG,Zürich / Flamatt,Product Manager ImmoScout24 w / m / d,Y,Zurich
Grafik Designer/ Content Creator 80-100 % (m/w),Hilti (Schweiz) AG,Zürich Adliswil,Graphic Designer / Content Creator 80-100% (w / w),Y,Zurich
Content Manager / Copywriter,Carvolution AG,Zürich oder Bannwil (BE),Content Manager / Copywriter,Y,Zurich
Marketing Manager B2B 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,Marketing Manager B2B 80% to 100%,Y,Zurich
Product Manager B2B Internet Services 80% bis 100%,Swisscom (Schweiz) AG,Zürich oder Bern,Product Manager B2B Internet services 80% to 100%,Y,Zurich
Head of Marketing FinanceScout24 w/m/d,Scout24 Schweiz AG,Zürich oder Flamatt,Head of Marketing FinanceScout24 w / m / d,Y,Zurich
SEA Manager FinanceScout24 w/m/d,Scout24 Schweiz AG,Zürich oder Flamatt,SEA Manager FinanceScout24 w / m / d,Y,Zurich
Betriebs ökonom als ERP Projektleiter (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Economy operation as the ERP project (m / w / d),Y,Zurich
Senior Consultant Business Analyst ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Senior Consultant Business Analyst ERP (m / w / d),Y,Zurich
"Consultant (w/m) Advisory Performance Improvement - Supply Chain & Operations in Zurich, Basel, Laus",EY,"Zürich, Basel, Lausanne or Geneva","Consultant (w / m) Advisory Performance Improvement - Supply Chain & Operations in Zurich, Basel, Laus",Y,Zurich
Brand Manager,,"Zurich, Geneva",Brand Manager,Y,Zurich
Teamleader SEO m/w/d,Scout24 Schweiz AG,Zürich/ Flamatt,SEO Team Leader m / f / d,Y,Zurich
Principal Consultant in der Software Entwicklung (Medtech/Health) / Mitglied des Kaders,ERNI Schweiz AG,Zürich/Bern,Principal Consultant in software development (Medtech / Health) / Member of Management,Y,Zurich
Praktikantin Training & Kampagnen 60 -100% (m/w),Flughafen Zürich AG,8058 Zürich-Flughafen,Intern Training & campaigns 60 -100% (w / w),N,Zurich
Restaurantfachmann/-frau (m/w) 100%,Holenstein Gastro,8104 Weiningen,Restaurant / -frau (m / w) 100%,N,Zurich
UMZUGSFACHMANN (AUF ABRUF),,8123 Ebmatingen bei Zürich,RELOCATION SPECIALIST (ON DEMAND),N,Zurich
Manager Marketing & Communication (w/m/d) 80 - 100%,,8302 Kloten,Manager Marketing & Communication (m / f / d) from 80 to 100%,N,Zurich
Kaderpraktikant/in Direktionsassistenz (m/w),Holenstein Gastro,8820 Wädenswil,Squad Intern / in Direktionsassistenz (m / w),N,Zurich
Kaderpraktikant/in F&B (m/w),Holenstein Gastro,8820 Wädenswil,Intern squad / R & B (m / w),N,Zurich
Restaurantfachmann/-frau (m/w) 100%,Holenstein Gastro,8820 Wädenswil,Restaurant / -frau (m / w) 100%,N,Zurich
Geschäftsführer (m/w),Holenstein Gastro,8942 Oberrieden,Managing (m / w),N,Zurich
Restaurantfachmann/ -frau (m/w) 100%,Holenstein Gastro,8942 Oberrieden,Restaurant / -frau (m / w) 100%,N,Zurich
