Description,Employer,Location,Translation,Multiple,State
Praktikum Software Engineer,,Baar Baden Bern Zürich,Internship Software Engineer,Y,Aargau
Software Engineer,,Baar Baden Bern Zürich,Software Engineer,Y,Aargau
Sales Manager Projektgeschäft,Avectris AG,"Baden, Wangen, Wallisellen",Sales Manager project business,Y,Aargau
Application Developer (f/m/d),Schneider Electric (Schweiz) AG,CH-Aargau-Aargau-Wettingen,Application Developer (f/m/d),Y,Aargau
Software Entwickler/in (m/w),4future management ag,Oftringen / Luzern,Software Developer / in (m / w),Y,Aargau
ICT Solution Engineer 80% bis 100%,Swisscom (Schweiz) AG,"Olten, Bern und Luzern",ICT Solution Engineer 80% to 100%,Y,Solothurn
Consultant SAP HCM / Payroll (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant SAP HCM / Payroll (w/m/d),Y,Multiple
Consultant SAP Time Management (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant SAP Time Management (w/m/d),Y,Multiple
Junior SAP Payroll Consultant (m/w/d),HR Campus AG,Region Zürich / Schaffhausen,Junior SAP Payroll Consultant (m/w/d),Y,Multiple
Payroll SAP Specialist in Shared Services Center (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Payroll SAP Specialist in Shared Services Center (w/m/d),Y,Multiple
IT-Security Engineer (m/w) in Reinach oder Gümligen,,Reinach oder Gümligen,IT Security Engineer (m / f) in Reinach or Gümligen,Y,Multiple
Network Engineer (m/w) in Reinach oder Gümligen,,Reinach oder Gümligen,Network Engineer (m / f) in Reinach or Gümligen,Y,Multiple
ABACUS Consultant im Bereich Zeiterfassung/HR-Prozesse (w/m) 80-100%,BDO AG,Zürich/St.Gallen/Aarau,ABACUS Consultant in the time recording / HR processes (m / w) 80-100%,Y,Aargau
Infographiste 3D / CG Artist,Swatch Group,2540 Grenchen,3D Artist / CG Artist,N,Solothurn
Data Management Projektleiter,yellowshark AG,Aarau,Data Management Project,N,Aargau
Data Management Projektleiter,yellowshark AG,Aarau,Data Management Project,N,Aargau
"Full Stack Software-Entwickler (m/w, 80-100%)",GeoWerkstatt GmbH,Aarau,"Full Stack Software Developer (m / w, 80-100%)",N,Aargau
Praktikum Informationssicherheit 60% - 100%,,Aarau,Practical information security 60% - 100%,N,Aargau
Software-Entwickler/-in C# (Aarau),GeoWerkstatt GmbH,Aarau,Software Developer / -in C # (Aarau),N,Aargau
Web Developer (Full Stack) interne IT 80-100% (w/m),DP Consulting AG,Aarau,Web Developer (Full Stack) interne IT 80-100% (w/m),N,Aargau
Solution Engineer & Supporter ERP-Software SelectLine (m/w),CS-Computing GmbH,Aarau Rohr,Solution Engineer & Supporter ERP-Software SelectLine (m/w),N,Aargau
IT Network Engineer (m/w) 80-100% [Ref:1309],Freestar-Informatik AG,Aargau,IT Network Engineer (m/w) 80-100% [Ref:1309],N,Aargau
"Angular Web Developer, 6 Month Contract, Baden",The Stamford Group AG,Baden,"Angular Web Developer, 6 Month Contract, Baden",N,Aargau
Data Engineer,,Baden,Data Engineer,N,Aargau
Expert Network Engineer,Avectris AG,Baden,Expert Network Engineer,N,Aargau
Expert Network Engineer,Avectris AG,Baden,Expert Network Engineer,N,Aargau
Expert Network Engineer,Avectris AG,Baden,Expert Network Engineer,N,Aargau
IT Infrastructure Consultant (m/w/d),,Baden,IT Infrastructure Consultant (m/w/d),N,Aargau
IT-Sales Manager mit Projektkoordination (SaaS),yellowshark AG,Baden,IT Sales Manager my Project Coordination (SaaS),N,Aargau
Key Account Manager,Avectris AG,Baden,Key Account Manager,N,Aargau
Key Account Manager,Avectris AG,Baden,Key Account Manager,N,Aargau
Partner Manager,Avectris AG,Baden,Partner Manager,N,Aargau
SAP Consultant (m/w/d),,Baden,SAP Consultant (m / w / d),N,Aargau
SAP CRM Lead,Avectris AG,Baden,SAP CRM Lead,N,Aargau
SAP IDEX/EDM Lead,Avectris AG,Baden,SAP IDEX/EDM Lead,N,Aargau
SAP Utilities Lead (IS-U),Avectris AG,Baden,SAP Utilities Lead (IS-U),N,Aargau
Senior Consultant SAP CRM,Avectris AG,Baden,Senior SAP CRM Consultant,N,Aargau
Senior Consultant SAP for Utilities FI-CA,Avectris AG,Baden,Senior Consultant SAP FI-CA Utilities,N,Aargau
Senior SAP Developer IS-U,Avectris AG,Baden,Senior SAP Developer IS-U,N,Aargau
Trainee Data Engineering w/m,,Baden,Trainee Data Engineering w/m,N,Aargau
Trainee Solutions Development IT f/m,,Baden,Trainee Solutions Development IT f/m,N,Aargau
Network/System-Engineer 100% (w/m),MST Systemtechnik AG,Belp,Network/System-Engineer 100% (w/m),N,Bern
Senior Fullstack SW Developer (m/w) - Projekteinsatz,yellowshark,Bern,Senior Full Stack SW Developer (m / f) - project work,N,Bern
Senior Software Engineer JVM,Unic AG,Bern,Senior Software Engineer JVM,N,Bern
Software Entwickler JVM / Web Systeme,Unic AG,Bern,Software developers JVM / Web Systems,N,Bern
Software Entwickler JVM / Web Systeme,Unic AG,Bern,Software developers JVM / Web Systems,N,Bern
Web- und Applikationsentwickler/in,Paul Büetiger AG,Biberist,Web and application developers / in,N,Solothurn
Application Engineer,Quickline AG,Biel,Application Engineer,N,Bern
Java Software Engineer Debit Online,SIX Payment Services AG,Biel,Java Software Engineer Debit Online,N,Bern
Network Development Engineer,Quickline AG,Biel,Network Development Engineer,N,Bern
Service Owner Mobile,Quickline AG,Biel,Service Owner Mobile,N,Bern
Web entwickler PHP/JavaScript (m/w) 100%,,Boniswil,Web developer PHP / JavaScript (m / w) 100%,N,Aargau
ICT-Supporter/Systemadministrator,ProtecData AG,Boswil,ICT Supporter / System Administrator,N,Aargau
Grafiker 50 – 60% (m/w),Art of Work Personalberatung AG,Brugg,Grafiker 50 - 60% (w / w),N,Aargau
Controls Electrical Engineer (m/w/d),Swisslog,Buchs,Controls Electrical Engineer (m/w/d),N,Sankt Gallen
Junior Java Software Engineer,Swisslog,Buchs,Junior Java Software Engineer,N,Sankt Gallen
Controls Commissioning Engineer (m/w/d),Swisslog,Buchs AG,Controls Commissioning Engineer (m/w/d),N,Aargau
Informatiker als Entwickler (m/w/d) - Schwerpunkt JAVA/JEE,Swisslog,Buchs AG,Computer as a developer (m / f / d) - Focus JAVA / JEE,N,Aargau
Java EE Software Engineer,Swisslog,Buchs AG,Java software Engineer,N,Aargau
SAP EWM Consultant (m/w),Swisslog,Buchs AG,SAP EWM Consultant (m / w),N,Aargau
"Entwicklungsingenieur mit Projektverantwortung (w/m, 80-100%)",,CH 2540 Grenchen,"Development engineer with project responsibility (w / m, 80-100%)",N,Solothurn
Programmierer,,CH 4310 Rheinfelden,programmer,N,Aargau
Webdesigner,,CH 4310 Rheinfelden,Web designers,N,Aargau
Webdeveloper,,CH 4310 Rheinfelden,webdeveloper,N,Aargau
"Business-IT Consultant mit Affinität zur Unternehmensarchitektur (w/m), 60-100% (Per sofort oder nach Vereinbarung)",XIMIQ AG,CH 4500 Solothurn,"Business IT Consultant with affinity to the enterprise architecture (m / f), 60-100% (immediately or by appointment)",N,Solothurn
Full Stack Developer IoT (Applikationen) 80%-100% (m/w),CSA Engineering AG,CH 4500 Solothurn,Full Stack Developer IoT (Applikationen) 80%-100% (m/w),N,Solothurn
Informatik-Lernende/r EFZ Fachrichtung Applikationsentwicklung,Centris AG,CH 4500 Solothurn,Computer science learners / r EFZ specializing in application development,N,Solothurn
