Description,Employer,Location,Translation,Multiple,State
(Senior) Projektmanager (w/m/d),Fujitsu Technology Solutions AG,Basel / Zürich,(Senior) Project Manager (w / m / d),Y,Basel
Wirtschaftsinformatiker (m/w/d),brain-tec AG IT-Solutions,Basel oder Züirch,Business data (m / w / d),Y,Basel
"SQL Server Consultant - Basel, Bern oder Zürich",,"Basel, Bern oder Zürich","SQL Server Consultant - Basel, Bern and Zurich",Y,Basel
Java Software Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Lugano, Zürich",Java Software Engineer (m/w),Y,Basel
IT Security Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Zürich",IT Security Engineer (m/w),Y,Basel
(Senior) Android Entwickler (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Android Developer (m / f),Y,Basel
(Senior) Entwickler Microsoft Dynamics CRM (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Entwickler Microsoft Dynamics CRM (m/w),Y,Basel
(Senior) Software Engineer (m/w) Microsoft,adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Software Engineer (m/w) Microsoft,Y,Basel
"Informatiker EFZ, Fachrichtung Applikationsentwicklung (m/w)",isolutions AG,"Basel, Bern, Zürich","Computer EFZ, field application development (m / f)",Y,Basel
IT-Consultant Manufacturing Industries (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",IT-Consultant Manufacturing Industries (m/w),Y,Basel
Platform Engineer Container Technologies - Bereich Digital & Innovation (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Platform Engineer Container Technologies - the Digital & Innovation (m / f),Y,Basel
Senior IT-Consultant Life Sciences (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Senior IT-Consultant Life Sciences (m/w),Y,Basel
Software Architect,isolutions AG,"Basel, Bern, Zürich",Software Architect,Y,Basel
Software Engineer .NET in der Individualsoftwareentwicklung,isolutions AG,"Basel, Bern, Zürich",.NET Software Engineer in the custom software development,Y,Basel
UI/UX Spezialist,adesso Schweiz AG,"Basel, Bern, Zürich",UI / UX Specialist,Y,Basel
Software-Ingenieur für Testautomatisierung (m/w),Allgeier (Schweiz) AG,"Basel, Thalwil oder beim Kunden OnSite",Software Engineer for Test Automation (m / f),Y,Basel
Full-Stack Software Engineer - AEM Sites,,"Basel, Zurich",Full-Stack Software Engineer - AEM Sites,Y,Basel
Senior Software Engineer,,"Basel, Zurich",Senior Software Engineer,Y,Basel
Sr. Full Stack Developer,,"Basel, Zurich",Sr. Full Stack Developer,Y,Basel
Trainee (all genders) SAP S/4HANA Consultant,Accenture,"Basel, Zürich",Trainee (all genders) SAP S/4HANA Consultant,Y,Basel
"Open Infrastructure Consultant - Basel, Zürich oder Bern",,"Basel, Zürich oder Bern","Open Infrastructure Consultant - Basel, Zurich or Bern",Y,Basel
Consultant (all genders) SAP FI/CO und S/4HANA,Accenture,Basel|Bern|Genf|Zrich,Consultant (all genders) SAP FI / CO und S / 4HANA,Y,Basel
Consultant / Manager (all genders) SAP,Accenture,Basel|Zürich,Consultant / Manager (all genders) SAP,Y,Basel
Business Analyst (w/m),ParMag AG,"Bern, Basel und Zürich",Business Analyst (w/m),Y,Basel
Senior Security Engineer 80% bis 100%,Swisscom (Schweiz) AG,"Bern, Zürich oder Basel",Senior Security Engineer 80% bis 100%,Y,Multiple
Senior Test Automation Engineer,ERNI Schweiz AG,Bern/Zürich,Senior Test Automation Engineer,Y,Multiple
Linux Systems Engineer – Dienstleistungsunternehmen,Gfeller Consulting & Partner AG,Nordwestschweiz,Linux Systems Engineer - service companies,Y,Multiple
Senior Development Engineer - Engineered Solutions (f/m),Unicada AG,northwestern Switzerland,Senior Development Engineer - Engineered Solutions (f/m),Y,Multiple
Senior Development Engineer - Engineered Solutions (f/m),Unicada AG,northwestern Switzerland,Senior Development Engineer - Engineered Solutions (f/m),Y,Multiple
SAP Inhouse Consultant HCM - Project Manager (w/m/d),BROMsolutions AG Binningen BL,Region Mittelland / Zürich,SAP Inhouse Consultant HCM - Project Manager (w/m/d),Y,Multiple
IT-Security Engineer (m/w) in Reinach oder Gümligen,,Reinach oder Gümligen,IT Security Engineer (m / f) in Reinach or Gümligen,Y,Basel
Network Engineer (m/w) in Reinach oder Gümligen,,Reinach oder Gümligen,Network Engineer (m / f) in Reinach or Gümligen,Y,Basel
Junior Software-Entwickler (w/m),Allgeier (Schweiz) AG,Thalwil oder Basel,Junior Software Developer (m / f),Y,Basel
Senior .NET Developer (w/m),Allgeier (Schweiz) AG,Thalwil oder Basel,Senior .NET Developer (w/m),Y,Basel
Network Engineer Cyber Security,Netcloud AG,"Winterthur, Bern oder Basel",Network Engineer Cyber Security,Y,Basel
Network Engineer Managed Services,Netcloud AG,"Winterthur, Bern oder Basel",Network Engineer Managed Services,Y,Basel
Senior Fullstack Engineer (Fokus Frontend-Entwicklung),Harvey Nash AG,Zürich oder Basel,Senior Full Stack Engineer (focus front-end development),Y,Basel
Computer scientist with economy background FH (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Computer scientist with economy background FH (m/w/d),Y,Basel
Consultant ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Consultant ERP (m/w/d),Y,Basel
Junior Project Manager ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Junior Project Manager ERP (m/w/d),Y,Basel
Project Manager ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Project Manager ERP (m/w/d),Y,Basel
Softwareentwickler (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Software developers (m / w / d),Y,Basel
Softwareentwickler im Customer Care Team (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Software developer in the Customer Care Team (m / w / d),Y,Basel
Senior Consultant - Advisory - SAP Agile Business Finance,EY,"Zürich, Basel, Genf, Lausanne",Senior Consultant - Advisory - SAP Agile Business Finance,Y,Basel
"Full Stack Software-Entwickler (m/w, 80-100%)",GeoWerkstatt GmbH,Aarau,"Full Stack Software Developer (m / w, 80-100%)",N,Aargau
ERP-SUPPORTER (M/W),OPAG Informatik AG,Arlesheim,ERP-SUPPORTER (M/W),N,Basel
App Engineer (Application Developer / Business Analyst Trading and Asset Management),Bank J. Safra Sarasin AG,Basel,App Engineer (Application Developer / Business Analyst Trading and Asset Management),N,Basel
Applikations-Entwickler/in für Kernbankensystem 80-100%,Basler Kantonalbank,Basel,Application Developer / in for core banking system from 80 to 100%,N,Basel
Avaloq Developer (with focus on credit office related topics),Bank J. Safra Sarasin AG,Basel,Avaloq Developer (with focus on credit office related topics),N,Basel
Avaloq Developer (with focus on credit office related topics),Bank J. Safra Sarasin AG,Basel,Avaloq Developer (with focus on credit office related topics),N,Basel
Avaloq Developer (with focus on Tax & Legal Reporting topics),Bank J. Safra Sarasin AG,Basel,Avaloq Developer (with focus on Tax & Legal Reporting topics),N,Basel
Avaloq Developer (with focus on Tax & Legal Reporting topics),Bank J. Safra Sarasin AG,Basel,Avaloq Developer (with focus on Tax & Legal Reporting topics),N,Basel
Avaloq Developer (with focus on topics related to tradable securities),Bank J. Safra Sarasin AG,Basel,Avaloq Developer (with focus on topics related to tradable securities),N,Basel
Avaloq Developer (with focus on topics related to tradable securities),Bank J. Safra Sarasin AG,Basel,Avaloq Developer (with focus on topics related to tradable securities),N,Basel
Avaloq Entwickler (mit Fokus Front-bezogene Themengebiete),Bank J. Safra Sarasin AG,Basel,Avaloq developer (focused front-related topics),N,Basel
Avaloq Entwickler (mit Fokus Front-bezogene Themengebiete),Bank J. Safra Sarasin AG,Basel,Avaloq developer (focused front-related topics),N,Basel
Business Intelligence Spezialist (m/w),Bell Schweiz AG,Basel,Business Intelligence (m / w),N,Basel
C-Programmer,,Basel,C Programs,N,Basel
CRM Manager,MCH Group AG,Basel,CRM Manager,N,Basel
Data Analyst/-Scientist,MCH Group AG,Basel,Data Analyst/-Scientist,N,Basel
Data Scientist,wega Informatik AG,Basel,Data Scientist,N,Basel
Data Scientist,wega Informatik AG,Basel,Data Scientist,N,Basel
Deutschsprachige Solutions Architect / Projekt Lead,Experis Schweiz Basel,Basel,German Language Solutions Architect / Project Lead,N,Basel
"DevOps Consultant IT Performance Management (Experienced, Lead, Senior)",Altersis Performance AG,Basel,"DevOps Consultant IT Performance Management (Experienced, Lead, Senior)",N,Basel
Digital Biomarker - Voice/Speech Data Analyst,,Basel,Digital Biomarker - Voice/Speech Data Analyst,N,Basel
Digital Product Owner,MCH Group AG,Basel,Digital Product Owner,N,Basel
Digital Solutions Manager,,Basel,Digital Solutions Manager,N,Basel
Experienced CSV Consultant,wega Informatik AG,Basel,Experienced CSV Consultant,N,Basel
Fachperson Security (w/m),ISS Schweiz,Basel,Expert Security (w / m),N,Basel
Hardware Engineer - Medical Devices,,Basel,Hardware Engineer - Medical Devices,N,Basel
ICT Architect (100 %),Bank CIC (Schweiz) AG,Basel,ICT Architect (100 %),N,Basel
ICT Security- / Netzwerkspezialist (100 %),Bank CIC (Schweiz) AG,Basel,ICT security / network specialist (100%),N,Basel
IT Contracting Data Migration Lead (m/f),Datalynx AG,Basel,IT Contracting Data Migration Lead (m/f),N,Basel
IT-Projektleiter/Entwickler (m/w/d),scope solutions ag,Basel,IT Project Manager / Developer (m / w / d),N,Basel
Java Architect / Technical Lead,ELCA Informatik AG,Basel,Java Architect / Technical Lead,N,Basel
Java Engineer w/m (Back- und Frontend),a & u Kaderberatung AG,Basel,Java Engineer w / m (back- and front-end),N,Basel
Java full stack Developer / Senior Java full stack Developer,ELCA Informatik AG,Basel,Java full stack Developer / Senior Java full stack Developer,N,Basel
Java Senior Software Engineer Cloud (m/w),adesso Schweiz AG,Basel,Java Senior Software Engineer Cloud (m/w),N,Basel
