Description,Employer,Location,Translation,Multiple,State
Praktikum Software Engineer,,Baar Baden Bern Zürich,Internship Software Engineer,Y,Bern
Software Engineer,,Baar Baden Bern Zürich,software Engineer,Y,Bern
"SQL Server Consultant - Basel, Bern oder Zürich",,"Basel, Bern oder Zürich","SQL Server Consultant - Basel, Bern and Zurich",Y,Bern
Java Software Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Lugano, Zürich",Java Software Engineer (m / f),Y,Bern
IT Security Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Zürich",IT Security Engineer (m / f),Y,Bern
(Senior) Android Entwickler (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Android Developer (m / f),Y,Bern
(Senior) Entwickler Microsoft Dynamics CRM (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Developer Microsoft Dynamics CRM (m / w),Y,Bern
(Senior) Software Engineer (m/w) Microsoft,adesso Schweiz AG,"Basel, Bern, Zürich",(Senior) Software Engineer (m / w) Microsoft,Y,Bern
"Informatiker EFZ, Fachrichtung Applikationsentwicklung (m/w)",isolutions AG,"Basel, Bern, Zürich","Computer EFZ, field application development (m / f)",Y,Bern
IT-Consultant Manufacturing Industries (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",IT Consultant Manufacturing Industries (m / f),Y,Bern
Platform Engineer Container Technologies - Bereich Digital & Innovation (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Platform Engineer Container Technologies - the Digital & Innovation (m / f),Y,Bern
Senior IT-Consultant Life Sciences (m/w),adesso Schweiz AG,"Basel, Bern, Zürich",Senior IT Consultant Life Sciences (m / f),Y,Bern
Software Architect,isolutions AG,"Basel, Bern, Zürich",software Architect,Y,Bern
Software Engineer .NET in der Individualsoftwareentwicklung,isolutions AG,"Basel, Bern, Zürich",.NET Software Engineer in the custom software development,Y,Bern
UI/UX Spezialist,adesso Schweiz AG,"Basel, Bern, Zürich",UI / UX Specialist,Y,Bern
"Open Infrastructure Consultant - Basel, Zürich oder Bern",,"Basel, Zürich oder Bern","Open Infrastructure Consultant - Basel, Zurich or Bern",Y,Bern
Software Architect,ERNI Schweiz AG,Bern / Zürich,software Architect,Y,Bern
Senior Cloud Workplace Engineer,isolutions AG,Bern / Zürich / Basel,Senior Cloud Engineer Workplace,Y,Bern
Technical Consultant - Digital Workplace,isolutions AG,Bern / Zürich / Basel,Technical Consultant - Digital Workplace,Y,Bern
Software Engineer AI/ML Applications 80% bis 100%,Swisscom (Schweiz) AG,Bern and Lausanne,Software Engineer AI / ML Applications 80% to 100%,Y,Bern
Senior Network Engineer (m/w),ENKOM,Bern oder Sursee,Senior Network Engineer (m / f),Y,Bern
Systems Engineer ECM (m/w),adeon ag,Bern oder Vaduz LI,Systems Engineer ECM (m / w),Y,Bern
Network Security Architect 100%,United Security Providers AG,Bern oder Zürich,Network Security Architect 100%,Y,Bern
Security Solution Engineer / Architect 80 bis 100%,United Security Providers AG,Bern oder Zürich,Security Solution Engineer / Architect 80 to 100%,Y,Bern
Senior IT Security Consultant,United Security Providers AG,Bern oder Zürich,Senior IT Security Consultant,Y,Bern
Senior Technology Consultant SAP Basis 80% bis 100%,Swisscom (Schweiz) AG,Bern oder Zürich,Senior Technology Consultant SAP Basis 80% to 100%,Y,Bern
Solution Consultant 100%,Swisscom (Schweiz) AG,Bern oder Zürich,Solution Consultant 100%,Y,Bern
