Description,Employer,Location,Translation,Multiple,State
Java Software Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Lugano, Zürich",Java Software Engineer (m / f),Y,Ticino
Application Engineer Document Processing (m/w),Inventx AG,Brüttisellen oder Chur,Application Engineer Document Processing (m / f),Y,Graubünden
Data Scientist (m/w),Inventx AG,Brüttisellen oder Chur,Data Scientist (m / f),Y,Graubünden
DevOps Engineer Mobile Packet Core 100%,Swisscom (Schweiz) AG,Chur oder Bern,DevOps Engineer Mobile Packet Core 100%,Y,Graubünden
Client Delivery Manager Technology (m/w),Inventx AG,Chur oder Brütisellen (ab Herbst Flughafen Zürich),Client Delivery Manager Technology (m / f),Y,Graubünden
Senior Network Engineer - Solution Architect (m/w),Inventx AG,"Chur, Brüttisellen oder St. Gallen",Senior Network Engineer - Solution Architect (m / f),Y,Graubünden
Senior Software Developer (m/w),Inventx AG,St. Gallen oder Chur oder Zürich,Senior Software Developer (m / f),Y,Graubünden
DevOps Engineer / Solution Architect (m/w),Inventx AG,"Zürich, Chur, St. Gallen",DevOps Engineer / Solution Architect (m / f),Y,Graubünden
ApplikationsEntwickler .NET,,Bellinzona,Application Developer .NET,N,Ticino
Solution Architect (w/m),Die Schweizerische Post,Bellinzona,Solution Architect (f / m),N,Ticino
Settlement Specialist,Avaloq Evolution AG,Bioggo,Settlement Specialist,N,Ticino
Android Developer,,CH 6830 Chiasso,Android Developer,N,Ticino
Data Analyst,,CH 6830 Chiasso,Data analyst,N,Ticino
Mobile Developer,,CH 6830 Chiasso,Mobile Developer,N,Ticino
React developer,,CH 6830 Chiasso,React developer,N,Ticino
Senior .Net Software Engineer,,CH 6830 Chiasso,Senior .Net Software Engineer,N,Ticino
Senior Frontend Engineer,,CH 6830 Chiasso,Senior Front End Engineer,N,Ticino
Senior Software Engineer,,CH 6830 Chiasso,Senior Software Engineer,N,Ticino
Software Development Manager - Meta Business,,CH 6830 Chiasso,Software Development Manager - Meta Business,N,Ticino
UX/UI Designer,,CH 6830 Chiasso,UX / UI Designer,N,Ticino
Cybersecurity System Architect,,CH 6883 Novazzano,Cyber ​​Security System Architect,N,Ticino
Embedded Software / Firmware Engineer,,CH 6883 Novazzano,Embedded Software / Firmware Engineer,N,Ticino
Field Application Engineer,,CH 6883 Novazzano,Field Application Engineer,N,Ticino
RF Hardware Design Engineer,,CH 6883 Novazzano,RF Hardware Design Engineer,N,Ticino
Android Developer,,CH 6900 Lugano,Android Developer,N,Ticino
Scientific Software Developers (Domain Specific Toolchain),,CH 6900 Lugano,Scientific Software Developers (Domain Specific toolchain),N,Ticino
Scientific Software Developers (Python),,CH 6900 Lugano,Scientific Software Developers (Python),N,Ticino
Apprendista Informatica/Informatico AFC,,CH 6928 Manno,Apprentice Computer / Computer AFC,N,Ticino
Ingenieur/in Hardware,OBLAMATIK AG,CH 7000 Chur,Ingenieur / in Hardware,N,Graubünden
Lehrstelle Interactive Media Designer Mediamatiker,ATLANTIQ AG,CH 7000 Chur,Apprenticeship Interactive Media Designer Mediamatiker,N,Graubünden
Netzwerk Spezialist/In 80% - 100%,itexa AG,CH 7000 Chur,Network Specialist / In 80% - 100%,N,Graubünden
Odoo Testmanager 40-100% (Python),nivels GmbH,CH 7000 Chur,ODOO Test Manager 40-100% (Python),N,Graubünden
Senior Webentwickler,08EINS AG,CH 7000 Chur,Senior Web Developer,N,Graubünden
Software Entwickler/in,08EINS AG,CH 7000 Chur,Software Developer / in,N,Graubünden
Softwareentwickler (w/m) per sofort oder nach Vereinbarung,First Security Technology AG,CH 7000 Chur,Software Developer (f / m) immediately or by agreement,N,Graubünden
Web- und Applikationsentwickler/in 100%,,CH 7007 Chur,Web and application developers / in 100%,N,Graubünden
ICT Engineer (m/w),,CH 7032 Laax GR 2,ICT Engineer (m / f),N,Graubünden
Lehrstelle Informatiker/in EFZ Fachrichtung Applikationsentwicklung,Alsoft Informatik AG,CH 7417 Paspels,Apprenticeship computer / EFZ specializing in application development,N,Graubünden
Software Engineer (m/w) 80-100%,Alsoft Informatik AG,CH 7417 Paspels,Software Engineer (m / w) 80-100%,N,Graubünden
Informatik-Praktikum,,CH 7421 Summaprada,Computer science internship,N,Graubünden
Lehrstelle Mediamatik,,CH 7421 Summaprada,Apprenticeship mediamatics,N,Graubünden
Praktikum Mediamatiker in Summaprada bei Thusis,,CH 7421 Summaprada,Internship Mediamatiker in Summaprada in Thusis,N,Graubünden
Webentwickler/-in,,CH 7500 St. Moritz,Web Developer / -in,N,Graubünden
Applicationmanager Customer Identity and Access (m/w),AMAG Group,Cham,Application Manager Customer Identity and Access (m / f),N,Zug
Data Specialist Parts Sales (m/w),AMAG Group,Cham,Data Specialist Parts Sales (m / f),N,Zug
"ICT System Specialist, 100%, Chur",Würth ITensis,Chur,"ICT System Specialist, 100%, Chur",N,Graubünden
ICT Techniker (w/m),,Chur,ICT technician (w / m),N,Graubünden
Lehrstelle als Informatiker/-in EFZ (Fachrichtung Systemtechnik),,Chur,Apprenticeship as a computer / -in EFZ (Department of System Engineering),N,Graubünden
"SAP ERP / EWM ABAP Entwickler, 100%, Chur",Würth ITensis,Chur,"SAP ERP / EWM ABAP developers 100%, Chur",N,Graubünden
WEB- UND APPLIKATIONSENTWICKLER/IN 100%,Somedia,Chur,WEB AND APPLICATION DEVELOPER / IN 100%,N,Graubünden
Technology Engineer (Project Manager) f/m,cablex AG,Giubiasco,Technology Engineer (Project Manager) f / m,N,Ticino
C#/.Net Entwickler,IQ PLUS AG,Kanton Graubünden,C # /. Net Developer,N,Graubünden
Cerchiamo programmatori .NET e C++ 100%,Best Vision Solutions & Services SA,Lugano,Let .NET and C ++ programmers% 100,N,Ticino
Java Engineer Genesys (m/w),adesso Schweiz AG,Lugano,Java Engineer Genesys (m / f),N,Ticino
Java Fullstack Engineer (m/w) Lugano,adesso Schweiz AG,Lugano,Java Full Stack Engineer (m / f) Lugano,N,Ticino
Java Software Engineer (m/f) Lugano,adesso Schweiz AG,Lugano,Java Software Engineer (m / f) Lugano,N,Ticino
Java Software Engineer (m/w) Lugano,adesso Schweiz AG,Lugano,Java Software Engineer (m / f) Lugano,N,Ticino
