Description,Employer,Language,Location,Multiple,State,Translation,Category
Praktikum Software Engineer,,,Baar Baden Bern Zürich,Y,Aargau,Internship Software Engineer,IT
Software Engineer,,,Baar Baden Bern Zürich,Y,Aargau,Software Engineer,IT
Sales Manager Projektgeschäft,Avectris AG,,"Baden, Wangen, Wallisellen",Y,Aargau,Sales Manager project business,IT
Application Developer (f/m/d),Schneider Electric (Schweiz) AG,,CH-Aargau-Aargau-Wettingen,Y,Aargau,Application Developer (f/m/d),IT
Software Entwickler/in (m/w),4future management ag,,Oftringen / Luzern,Y,Aargau,Software Developer / in (m / w),IT
ICT Solution Engineer 80% bis 100%,Swisscom (Schweiz) AG,,"Olten, Bern und Luzern",Y,Solothurn,ICT Solution Engineer 80% to 100%,IT
Consultant SAP HCM / Payroll (w/m/d),HR Campus AG,,Region Zürich / Schaffhausen,Y,Multiple,Consultant SAP HCM / Payroll (w/m/d),IT
Consultant SAP Time Management (w/m/d),HR Campus AG,,Region Zürich / Schaffhausen,Y,Multiple,Consultant SAP Time Management (w/m/d),IT
Junior SAP Payroll Consultant (m/w/d),HR Campus AG,,Region Zürich / Schaffhausen,Y,Multiple,Junior SAP Payroll Consultant (m/w/d),IT
Payroll SAP Specialist in Shared Services Center (w/m/d),HR Campus AG,,Region Zürich / Schaffhausen,Y,Multiple,Payroll SAP Specialist in Shared Services Center (w/m/d),IT
IT-Security Engineer (m/w) in Reinach oder Gümligen,,,Reinach oder Gümligen,Y,Multiple,IT Security Engineer (m / f) in Reinach or Gümligen,IT
Network Engineer (m/w) in Reinach oder Gümligen,,,Reinach oder Gümligen,Y,Multiple,Network Engineer (m / f) in Reinach or Gümligen,IT
ABACUS Consultant im Bereich Zeiterfassung/HR-Prozesse (w/m) 80-100%,BDO AG,,Zürich/St.Gallen/Aarau,Y,Aargau,ABACUS Consultant in the time recording / HR processes (m / w) 80-100%,IT
Infographiste 3D / CG Artist,Swatch Group,,2540 Grenchen,N,Solothurn,3D Artist / CG Artist,IT
Data Management Projektleiter,yellowshark AG,,Aarau,N,Aargau,Data Management Project,IT
Data Management Projektleiter,yellowshark AG,,Aarau,N,Aargau,Data Management Project,IT
"Full Stack Software-Entwickler (m/w, 80-100%)",GeoWerkstatt GmbH,,Aarau,N,Aargau,"Full Stack Software Developer (m / w, 80-100%)",IT
Praktikum Informationssicherheit 60% - 100%,,,Aarau,N,Aargau,Practical information security 60% - 100%,IT
Software-Entwickler/-in C# (Aarau),GeoWerkstatt GmbH,,Aarau,N,Aargau,Software Developer / -in C # (Aarau),IT
Web Developer (Full Stack) interne IT 80-100% (w/m),DP Consulting AG,,Aarau,N,Aargau,Web Developer (Full Stack) interne IT 80-100% (w/m),IT
Solution Engineer & Supporter ERP-Software SelectLine (m/w),CS-Computing GmbH,,Aarau Rohr,N,Aargau,Solution Engineer & Supporter ERP-Software SelectLine (m/w),IT
IT Network Engineer (m/w) 80-100% [Ref:1309],Freestar-Informatik AG,,Aargau,N,Aargau,IT Network Engineer (m/w) 80-100% [Ref:1309],IT
"Angular Web Developer, 6 Month Contract, Baden",The Stamford Group AG,,Baden,N,Aargau,"Angular Web Developer, 6 Month Contract, Baden",IT
Data Engineer,,,Baden,N,Aargau,Data Engineer,IT
Expert Network Engineer,Avectris AG,,Baden,N,Aargau,Expert Network Engineer,IT
Expert Network Engineer,Avectris AG,,Baden,N,Aargau,Expert Network Engineer,IT
Expert Network Engineer,Avectris AG,,Baden,N,Aargau,Expert Network Engineer,IT
IT Infrastructure Consultant (m/w/d),,,Baden,N,Aargau,IT Infrastructure Consultant (m/w/d),IT
IT-Sales Manager mit Projektkoordination (SaaS),yellowshark AG,,Baden,N,Aargau,IT Sales Manager my Project Coordination (SaaS),IT
Key Account Manager,Avectris AG,,Baden,N,Aargau,Key Account Manager,IT
Key Account Manager,Avectris AG,,Baden,N,Aargau,Key Account Manager,IT
Partner Manager,Avectris AG,,Baden,N,Aargau,Partner Manager,IT
SAP Consultant (m/w/d),,,Baden,N,Aargau,SAP Consultant (m / w / d),IT
SAP CRM Lead,Avectris AG,,Baden,N,Aargau,SAP CRM Lead,IT
SAP IDEX/EDM Lead,Avectris AG,,Baden,N,Aargau,SAP IDEX/EDM Lead,IT
SAP Utilities Lead (IS-U),Avectris AG,,Baden,N,Aargau,SAP Utilities Lead (IS-U),IT
Senior Consultant SAP CRM,Avectris AG,,Baden,N,Aargau,Senior SAP CRM Consultant,IT
Senior Consultant SAP for Utilities FI-CA,Avectris AG,,Baden,N,Aargau,Senior Consultant SAP FI-CA Utilities,IT
Senior SAP Developer IS-U,Avectris AG,,Baden,N,Aargau,Senior SAP Developer IS-U,IT
Trainee Data Engineering w/m,,,Baden,N,Aargau,Trainee Data Engineering w/m,IT
Trainee Solutions Development IT f/m,,,Baden,N,Aargau,Trainee Solutions Development IT f/m,IT
Network/System-Engineer 100% (w/m),MST Systemtechnik AG,,Belp,N,Bern,Network/System-Engineer 100% (w/m),IT
Senior Fullstack SW Developer (m/w) - Projekteinsatz,yellowshark,,Bern,N,Bern,Senior Full Stack SW Developer (m / f) - project work,IT
Senior Software Engineer JVM,Unic AG,,Bern,N,Bern,Senior Software Engineer JVM,IT
Software Entwickler JVM / Web Systeme,Unic AG,,Bern,N,Bern,Software developers JVM / Web Systems,IT
Software Entwickler JVM / Web Systeme,Unic AG,,Bern,N,Bern,Software developers JVM / Web Systems,IT
Web- und Applikationsentwickler/in,Paul Büetiger AG,,Biberist,N,Solothurn,Web and application developers / in,IT
Application Engineer,Quickline AG,,Biel,N,Bern,Application Engineer,IT
Java Software Engineer Debit Online,SIX Payment Services AG,,Biel,N,Bern,Java Software Engineer Debit Online,IT
Network Development Engineer,Quickline AG,,Biel,N,Bern,Network Development Engineer,IT
Service Owner Mobile,Quickline AG,,Biel,N,Bern,Service Owner Mobile,IT
Web entwickler PHP/JavaScript (m/w) 100%,,,Boniswil,N,Aargau,Web developer PHP / JavaScript (m / w) 100%,IT
