Description,Employer,Location,Translation,Multiple,State
Consultant SAP HCM / Payroll (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant SAP HCM / Payroll (w / m / d),Y,Multiple
Consultant SAP Time Management (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant SAP Time Management (w / m / d),Y,Multiple
Junior SAP Payroll Consultant (m/w/d),HR Campus AG,Region Zürich / Schaffhausen,Junior SAP Payroll Consultant (m / w / d),Y,Multiple
Payroll SAP Specialist in Shared Services Center (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Payroll SAP Specialist in Shared Services Center (w / m / d),Y,Multiple
Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Rheintal (Landquart)/Winterthur,Professional Embedded C / C ++ Developer / in,Y,Sankt Gallen
WIR SUCHEN DICH - Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Winterthur/Rheintal (Landquart),WE WANT YOU - Professional Embedded C / C ++ Developer / in,Y,Sankt Gallen
Développeur/Développeuse,,Zürich oder Brig,Developer / developing machine,Y,Valais
Informaticien/ne de gestion HES,,Zürich oder Brig,Computer / no management HES,Y,Valais
Consultant ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Consultant ERP (m / w / d),Y,Valais
IT specialist with background in economy (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",IT specialist with background in economy (m / w / d),Y,Valais
Junior Project Manager ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Junior Project Manager ERP (m / w / d),Y,Valais
Project Manager ERP (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",ERP Project Manager (m / w / d),Y,Valais
Softwareentwickler (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Software developers (m / w / d),Y,Valais
Softwareentwickler im Customer Care Team (m/w/d),,"Zürich, Basel, Brig, Heidelberg, München oder Linz",Software developer in the Customer Care Team (m / w / d),Y,Valais
Agile Java Software Engineer 80-100%,SIX Group AG,Biel,Agile Java Software Engineer 80-100%,N,Bern
Application Operation Manager 80-100%,Quickline AG,Biel,Application Operation Manager 80-100%,N,Bern
Network Architect,Quickline AG,Biel,Network Architect,N,Bern
Digital Analyst,Matterhorn Gotthard Bahn,Brig,Digital analyst,N,Valais
Informatiker/in - IT-Support und Web-Entwicklung (100%),,CH 3900 Brig,Computer / in - IT support and web development (100%),N,Valais
Studienausbildungsplatz PiBS in Informatik in Brig,,CH 3900 Brig,Study apprenticeship PIBs in computer science in Brig,N,Valais
ICT-Techniker/in Professional im Aussendienst (100%),,CH 3902 Glis,ICT Technician / Professional in field service (100%),N,Valais
"App-Entwickler/-in, 60-100%",,CH 3952 Susten,App developers / -in 60-100%,N,Valais
"Webentwickler/-in, 60-100%",,CH 3952 Susten,Web Developer / -in 60-100%,N,Valais
Lehrstelle als Informatiker/in,Grand Resort Bad Ragaz AG,CH 7310 Bad Ragaz,Apprenticeship as / in,N,Sankt Gallen
Lehrstelle als Mediamatiker/in,Grand Resort Bad Ragaz AG,CH 7310 Bad Ragaz,Apprenticeship as computer technicians / in,N,Sankt Gallen
"IT-Techniker Business IT (w/m, 60-100%) - Ständiges Inserat",Büro Föllmi AG,CH 7323 Wangs,"IT technician Business IT (w / m, 60-100%) - Permanent ad",N,Sankt Gallen
"IT-Techniker SOHO (w/m, 80-100%) - Ständiges Inserat",Büro Föllmi AG,CH 7323 Wangs,"IT technician SOHO (w / m, 80-100%) - Permanent ad",N,Sankt Gallen
"Java (Spring) Software-Entwickler (m/w, 80 - 100%)",Hostpoint AG,CH 8640 Rapperswil,Java (Spring) Software Developer (m / w 80 - 100%),N,Sankt Gallen
"Python Software-Entwickler (m/w, 80 - 100%)",Hostpoint AG,CH 8640 Rapperswil,Python Software Developer (m / w 80 - 100%),N,Sankt Gallen
Software Entwickler in Frontend 50 - 100 %,,CH 8640 Rapperswil,Software developers in front 50-100%,N,Sankt Gallen
Software Entwickler in Java 50 - 100 %,,CH 8640 Rapperswil,Software developers in Java 50-100%,N,Sankt Gallen
Software Entwickler in Python 50 - 100 %,,CH 8640 Rapperswil,Software developers in Python 50-100%,N,Sankt Gallen
Client Security Engineer + IT-Koordinator/in 100%,,CH 8640 Rapperswil SG,Client Security Engineer + IT coordinator / in 100%,N,Sankt Gallen
CONSULTANT (M/W/D) - SAP ANALYTICS CONSULTANT (M/W/D) - Rapperswil,CubeServ AG,CH 8640 Rapperswil SG,CONSULTANT (M / W / D) - SAP Analytics CONSULTANT (M / W / D) - Rapperswil,N,Sankt Gallen
CONSULTANT (M/W/D) - SAP Business Objects,CubeServ AG,CH 8640 Rapperswil SG,CONSULTANT (M / W / D) - SAP Business Objects,N,Sankt Gallen
CONSULTANT (M/W/D) - SAP Enterprise Planning,CubeServ AG,CH 8640 Rapperswil SG,CONSULTANT (M / W / D) - SAP Enterprise Planning,N,Sankt Gallen
CONSULTANT (M/W/D) - SAP HANA / Web / Cloud,CubeServ AG,CH 8640 Rapperswil SG,CONSULTANT (M / W / D) - SAP HANA / Web / Cloud,N,Sankt Gallen
DEVELOPER (M/W/D) SAP UI5,CubeServ AG,CH 8640 Rapperswil SG,DEVELOPER (M / W / D) SAP UI5,N,Sankt Gallen
SENIOR ARCHITECT / DEVELOPER (M/W/D) - SAP UI5,CubeServ AG,CH 8640 Rapperswil SG,SENIOR ARCHITECT / DEVELOPER (M / W / D) - SAP UI5,N,Sankt Gallen
"SENIOR ARCHITECT / DEVELOPER (M/W/D) - SAP UI5, HANA, ABAP",CubeServ AG,CH 8640 Rapperswil SG,"SENIOR ARCHITECT / DEVELOPER (M / W / D) - SAP UI5, HANA, ABAP",N,Sankt Gallen
SENIOR CONSULTANT (M/W/D) - SAP Basis,CubeServ AG,CH 8640 Rapperswil SG,Senior Consultant (M / W / D) - SAP Basis,N,Sankt Gallen
SENIOR CONSULTANT (M/W/D) - SAP BUSINESS OBJECTS,CubeServ AG,CH 8640 Rapperswil SG,Senior Consultant (M / W / D) - SAP BUSINESS OBJECTS,N,Sankt Gallen
SENIOR CONSULTANT (M/W/D) - SAP HR ANALYTICS & BI,CubeServ AG,CH 8640 Rapperswil SG,Senior Consultant (M / W / D) - SAP HR & ANALYTICS BI,N,Sankt Gallen
SENIOR CONSULTANT (M/W/D) - SAP PLANNING APPLICATIONS,CubeServ AG,CH 8640 Rapperswil SG,Senior Consultant (M / W / D) - SAP PLANNING APPLICATIONS,N,Sankt Gallen
SENIOR DEVELOPER (M/W/D) - SAP HANA / Web / Cloud,CubeServ AG,CH 8640 Rapperswil SG,SENIOR DEVELOPER (M / W / D) - SAP HANA / Web / Cloud,N,Sankt Gallen
Junior Informatiker m/w (100%),Glaronia Informatik AG,CH 8750 Glarus,Junior Computer m / w (100%),N,Glarus
"Network engineer (Part-time position, 20%)",,CH 8775 Luchsingen,"Network engineer (Part-time position, 20%)",N,Glarus
UX/UI Web Designer/Entwickler,aXcelerate-Solutions AG,CH 8866 Ziegelbrücke,UX / UI Web Designer / Developer,N,Sankt Gallen
Software-Entwicklungsingenieur,,CH 8890 Flums,Software Development Engineer,N,Sankt Gallen
WEB DEVELOPER (m/w),,CH 9424 Rheineck,WEB DEVELOPER (m / w),N,Sankt Gallen
Informatik-Netzwerktechniker,,CH 9443 Widnau,Computer science network technician,N,Sankt Gallen
Ferienpraktikant Stammdatenpflege (w/m) 80-100%,,CH 9451 Kriessern,Self Intern master data maintenance (w / w) 80-100%,N,Sankt Gallen
Software-Entwickler C#.NET (m/w),,CH 9451 Kriessern,Software Developer C # .NET (m / w),N,Sankt Gallen
"ECM-Softwareentwickler/in, Oberriet (Schweiz)",,CH 9463 Oberriet,"ECM software developer / in, Oberriet (Switzerland)",N,Sankt Gallen
.NET (Web) Developer,digicube AG,CH 9470 Buchs,.NET (Web) Developer,N,Sankt Gallen
Frontend Developer,2sic Internet Solutions GmbH,CH 9470 Buchs,frontend Developer,N,Sankt Gallen
Senior .NET Developer,digicube AG,CH 9470 Buchs,Senior .NET Developer,N,Sankt Gallen
Senior React JS & React Native Developer,digicube AG,CH 9470 Buchs,Senior React JS & React Native Developer,N,Sankt Gallen
Senior Software Development Engineer,digicube AG,CH 9470 Buchs,Senior Software Development Engineer,N,Sankt Gallen
Senior Software-Entwickler m/w (Teilzeit möglich),Solve GmbH,CH 9470 Buchs,Senior Software Developer m / w (Part-time possible),N,Sankt Gallen
"Senior Web / JavaScript Developer (m/w, 100%)",2sic Internet Solutions GmbH,CH 9470 Buchs,"Senior Web / Javascript Developer (m / w, 100%)",N,Sankt Gallen
Senior Webentwickler m/w,Solve GmbH,CH 9470 Buchs,Senior Web Developer m / f,N,Sankt Gallen
"Web Developer(m/w, 100%) gesucht",2sic Internet Solutions GmbH,CH 9470 Buchs,"Web Developer (m / w, 100%) wanted",N,Sankt Gallen
Praktikum Interactive Media Designer 100% (m/w),,CH 9470 Buchs SG,Internship Interactive Media Designer 100% (w / w),N,Sankt Gallen
Web-Entwickler 100% (m/w),,CH 9470 Buchs SG,Web developers 100% (w / w),N,Sankt Gallen
Software - Entwickler (.net / Delphi / SQL) / 100%,,CH 9472 Grabs,Software - Developer (.NET / Delphi / SQL) / 100%,N,Sankt Gallen
Business Application Manager (m/w),Glarner Kantonalbank,Glarus,Business Application Manager (m / f),N,Glarus
Data Scientist (m/w),Glarner Kantonalbank,Glarus,Data Scientist (m / f),N,Glarus
SAP Berechtigungsspezialist (m/w),SFS services AG,Heerbrugg,SAP authorization (m / w),N,Sankt Gallen
IT Security Analyst/Penetration Tester (m/w),,Jona,IT Security Analyst / Penetration Tester (m / f),N,Sankt Gallen
Software Entwickler C# m/w 80-100%,Securiton AG,Mels,Software Developer C # m / f 80-100%,N,Sankt Gallen
Data Engineer,bexio AG,Rapperswil,Data Engineer,N,Sankt Gallen
PHP or Full-Stack Developer (m/f),bexio AG,Rapperswil,PHP or full-stack Developer (m / f),N,Sankt Gallen
UX Designer 80 - 100%,bexio AG,Rapperswil,UX Designer 80-100%,N,Sankt Gallen
Servicetechniker/in IT im Aussendienst 100% in der Region Biel / Neuenburg,Nexgen AG,Region Biel,Service Technician / IT field service 100% in the region Biel / Neuenburg,N,Bern
Hardware EntwicklerIn VHDL/FPGA 80-100%,Novotec Engineering AG,Region Zürich,Hardware EntwicklerIn VHDL / FPGA 80-100%,N,Zurich
Java Software Engineer 80-100%,Novotec Engineering AG,Region Zürich,Java Software Engineer 80-100%,N,Zurich
Full Stack Developer - React,Randstad (Schweiz) AG,Sion,Full Stack Developer - React,N,Valais
SPS Software Entwicklungsingenieur (w/m/d) 100%,Freestar-People AG,St.Gallen Rheintal,PLC software development engineer (w / m / d) 100%,N,Sankt Gallen
