Description,Employer,Location,Translation,Multiple,State
Einstieg als Business Intelligence Consultant (m/w),Consult & Pepper AG,Region Winterthur - Schaffhausen,Starting as Business Intelligence Consultant (m / w),Y,Multiple
Consultant SAP HCM / Payroll (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant SAP HCM / Payroll (w / m / d),Y,Schaffhausen
Consultant SAP Time Management (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Consultant SAP Time Management (w / m / d),Y,Schaffhausen
Junior SAP Payroll Consultant (m/w/d),HR Campus AG,Region Zürich / Schaffhausen,Junior SAP Payroll Consultant (m / w / d),Y,Schaffhausen
Payroll SAP Specialist in Shared Services Center (w/m/d),HR Campus AG,Region Zürich / Schaffhausen,Payroll SAP Specialist in Shared Services Center (w / m / d),Y,Schaffhausen
Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Rheintal (Landquart)/Winterthur,Professional Embedded C / C ++ Developer / in,Y,Zurich
"PC-/Netzwerk-Supporter 50 bis 100 Prozent, nach Vereinbarung",,Schaffhausen / Winterthur / Zürich,"PC / network supporter 50 to 100 percent, according to agreement",Y,Multiple
Network Engineer Cyber Security,Netcloud AG,"Winterthur, Bern oder Basel",Network Engineer Cyber ​​Security,Y,Zurich
Network Engineer Managed Services,Netcloud AG,"Winterthur, Bern oder Basel",Network Engineer Managed Services,Y,Zurich
WIR SUCHEN DICH - Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Winterthur/Rheintal (Landquart),WE WANT YOU - Professional Embedded C / C ++ Developer / in,Y,Zurich
Senior SAP Consultant (m/w),ProNovia AG,Bülach,Senior SAP Consultant (m / w),N,Zurich
"ForgeRock OpenAM Developer (80-100%, m/w)",,CH 8152 Glattbrugg,"Forge skirt OpenAM Developer (80-100%, m / w)",N,Zurich
"Information Security Manager (100%, w/m)",,CH 8152 Glattbrugg,"Information Security Manager (100%, w / w)",N,Zurich
IT Solutions Architect,,CH 8152 Glattbrugg,IT Solutions Architect,N,Zurich
IT-Service Manager (m/w) 100%,iSource AG,CH 8152 Glattbrugg,IT Service Manager (m / w) 100%,N,Zurich
"Java und C++ Software Engineer (m/w), 80-100%",Imagic Bildverarbeitung AG,CH 8152 Glattbrugg,"Java and C ++ Software Engineer (m / w), 80-100%",N,Zurich
"Senior Mobile Software Engineer (80-100%, m/w)",,CH 8152 Glattbrugg,"Senior Mobile Software Engineer (80-100%, m / f)",N,Zurich
"Senior React Web & Mobile Software Engineer (m/w), 80 - 100%",Imagic Bildverarbeitung AG,CH 8152 Glattbrugg,"Senior React Web & Mobile Software Engineer (m / w), 80 to 100%",N,Zurich
"Senior Software Engineer (80-100%, m/w)",,CH 8152 Glattbrugg,"Senior Software Engineer (80-100%, m / f)",N,Zurich
Software Development Engineer,,CH 8152 Glattbrugg,Software Development Engineer,N,Zurich
Web-Entwickler/in Java.,insign gmbh,CH 8152 Glattbrugg,Web Developer / Java.,N,Zurich
Development Engineer in Electrical Engineering or Computer Science (f/m),Wavecom Elektronik AG,CH 8180 Bülach,Development Engineer in Electrical Engineering or Computer Science (f / m),N,Zurich
Senior SAP Consultant (m/w),ProNovia AG,CH 8180 Bülach,Senior SAP Consultant (m / w),N,Zurich
Genesys Solution Engineer,,CH 8192 Zweidlen,Genesys Solution Engineer,N,Zurich
Abacus Software Berater 80-100% (w/m),softtech ag,CH 8240 Thayngen,Abacus Software consultants 80-100% (w / w),N,Schaffhausen
Software Ingenieur - Verkehrsleittechnik und Automatisierung 100% (m/w),Ticos Engineering AG,CH 8245 Feuerthalen,Software engineer - traffic control systems and automation 100% (w / w),N,Zurich
Software Developer,,CH 8248 Uhwiesen,software Developer,N,Zurich
Ausbildung zum Fachinformatiker (m/w/d),,CH 8400 Winterthur,Specialist training (m / h / d),N,Zurich
epische Webentwickler/innen 100%,premiummedia GmbH,CH 8400 Winterthur,Epic Webentwickler / inner 100%,N,Zurich
INFORMATIKER/IN mit MS Access Skills,,CH 8400 Winterthur,Computer / IN with MS Access skills,N,Zurich
Senior Full Stack Entwickler/in in Winterthur (80-100%),Andeo AG,CH 8400 Winterthur,Senior Full Stack Developer / in Winterthur (80-100%),N,Zurich
Senior Java Developer / Architect (100%),customweb GmbH,CH 8400 Winterthur,Senior Java Developer / Architect (100%),N,Zurich
Software Developer (m/w/d),,CH 8400 Winterthur,Software Developer (m / w / d),N,Zurich
Solution Architect (m/w/d),,CH 8400 Winterthur,Solution Architect (m / w / d),N,Zurich
UX/UI Designer,Deep Impact AG,CH 8400 Winterthur,UX / UI Designer,N,Zurich
WANTED Web-Frontend-Entwickler/in,,CH 8400 Winterthur,WANTED web front-end developer / in,N,Zurich
Web-Developer ASP.NET C# (m/w) 80-100%,Premotec GmbH,CH 8400 Winterthur,Web Developer ASP.NET C # (m / w) 80-100%,N,Zurich
Web-Entwickler/in (80-100%),Andeo AG,CH 8400 Winterthur,Web Developer / in (80-100%),N,Zurich
Senior IT Consultant,Koch IT AG,CH 8404 Winterthur,Senior IT Consultant,N,Zurich
Senior PHP Software-Entwickler,Cando Image GmbH,CH 8404 Winterthur,Senior PHP Software Developer,N,Zurich
Software Engineer,Koch IT AG,CH 8404 Winterthur,software Engineer,N,Zurich
Software-Developer/Administrator,,CH 8404 Winterthur,Software Developer / Administrator,N,Zurich
WEB-ENTWICKLER/IN 80 - 100 %,,CH 8404 Winterthur,WEB DEVELOPER / IN 80-100%,N,Zurich
Systemtechniker / Netzwerkengineer in Winterthur,AAC Computer AG,CH 8406 Winterhur,Systems Engineer / Network Engineer in Winterthur,N,Zurich
App Developer (Android / iOS),Scewo AG,CH 8406 Winterthur,App Developer (Android / iOS),N,Zurich
