Description,Employer,Location,Translation,Multiple,State
Senior Network Engineer - Solution Architect (m/w),Inventx AG,"Chur, Brüttisellen oder St. Gallen",Senior Network Engineer - Solution Architect (m / f),Y,Sankt Gallen
"Cyber Security Engineer, 80%-100% (w/m)",T-Systems Schweiz AG,Kreuzlingen Zollikofen,"Cyber ​​Security Engineer, 80% -100% (w / m)",Y,Thurgau
Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Rheintal (Landquart)/Winterthur,Professional Embedded C / C ++ Developer / in,Y,Sankt Gallen
Linux Application-Engineer (m/w),Abraxas Informatik AG,St. Gallen / Zürich,Linux Application Engineer (m / f),Y,Sankt Gallen
Netzwerk-Spezialist Senior (m/w),Abraxas Informatik AG,St. Gallen / Zürich,Senior network specialist (m / f),Y,Sankt Gallen
Senior Abacus Berater Finanzen/ HR (m/w) ab 80%,Abraxas Informatik AG,St. Gallen / Zürich,Senior Consultant Abacus Finance / HR (m / w) 80%,Y,Sankt Gallen
Senior Abacus Berater SVM/ABEA/Project (m/w) ab 80%,Abraxas Informatik AG,St. Gallen / Zürich,Senior Consultant Abacus SVM / ABEA / Project (m / w) 80%,Y,Sankt Gallen
Software Engineer .NET (m/w),Abraxas Informatik AG,St. Gallen / Zürich,.NET Software Engineer (m / f),Y,Sankt Gallen
Software Engineer (m/w),Abraxas Informatik AG,St. Gallen / Zürich,Software Engineer (m / f),Y,Sankt Gallen
Solution Architekt (m/w),Abraxas Informatik AG,St. Gallen / Zürich,Solution Architect (m / f),Y,Sankt Gallen
UX Designer (m/w),Abraxas Informatik AG,St. Gallen / Zürich,UX Designer (m / f),Y,Sankt Gallen
Windows Application Engineer (m/w),Abraxas Informatik AG,St. Gallen / Zürich,Windows Application Engineer (m / f),Y,Sankt Gallen
Windows Application-Engineer (m/w),Abraxas Informatik AG,St. Gallen / Zürich,Windows Application Engineer (m / f),Y,Sankt Gallen
Senior Software Developer (m/w),Inventx AG,St. Gallen oder Chur oder Zürich,Senior Software Developer (m / f),Y,Sankt Gallen
(Senior) Salesforce Consultant*. 80-100%.,Namics AG,St. Gallen oder Zürich,(Senior) Consultant Salesforce *. 80-100%.,Y,Sankt Gallen
Software Engineer (m/w),KMS AG,Thurgau / Matzingen / Luzern / Kriens,Software Engineer (m / f),Y,Thurgau
WIR SUCHEN DICH - Professional Embedded C/C++ Entwickler/in,Noser Engineering AG,Winterthur/Rheintal (Landquart),WE WANT YOU - Professional Embedded C / C ++ Developer / in,Y,Sankt Gallen
DevOps Engineer / Solution Architect (m/w),Inventx AG,"Zürich, Chur, St. Gallen",DevOps Engineer / Solution Architect (m / f),Y,Sankt Gallen
ERP-Spezialist (m/w),Eugster/Frismag AG,8580 Amriswil,ERP (m / w),N,Thurgau
Praxissemester Entwicklungsabteilung,Eugster/Frismag AG,8580 Amriswil,Internship Development Department,N,Thurgau
Avaloq Applikationsentwickler (w/m) Kundenmanagement und Compliance 80 - 100%,Raiffeisen Gruppe,9000 St. Gallen,Avaloq application developer (w / m) customer management and compliance 80-100%,N,Sankt Gallen
Avaloq Parametrierer Senior Wertschriften (w/m) 80 - 100%,Raiffeisen Gruppe,9000 St. Gallen,Avaloq person setting the parameters Senior securities (w / w) 80-100%,N,Sankt Gallen
Frontend Entwickler Angular (w/m) 80 - 100%,Raiffeisen Gruppe,9000 St. Gallen,Front End Developer Angular (w / m) from 80 to 100%,N,Sankt Gallen
IT Security Engineer (w/m) 80 - 100%,Raiffeisen Gruppe,9000 St. Gallen,IT Security Engineer (m / f) 80 to 100%,N,Sankt Gallen
IT-Applikationsspezialist Senior (w/m) E-Banking-Systeme 80 - 100%,Raiffeisen Gruppe,9000 St. Gallen,IT application specialist Senior (m / f) e-banking systems from 80 to 100%,N,Sankt Gallen
Middleware Engineer (w/m) 80-100%,Raiffeisen Gruppe,9000 St. Gallen,Middleware Engineer (w / w) 80-100%,N,Sankt Gallen
Avaloq Applikationsentwickler/in Dokumentenmanagement 80 - 100%,Raiffeisen Gruppe,9001 St. Gallen,Avaloq application developer / into document management 80-100%,N,Sankt Gallen
Junior Abacus Berater/in | Finanzen - Lohn - AbaProject,bsb.info.partner AG,9014 St. Gallen,Junior Abacus consultants / in | Finance - Contract - AbaProject,N,Sankt Gallen
SAP Inhouse Consultant 100% (w/m),,9015 St. Gallen,SAP house consultant 100% (w / w),N,Sankt Gallen
Informatiker (w/m/d) zur Projektumsetzung & Mitarbeit im IT-Support-Team (international),TRUMPF Schweiz AG,Bottighofen,Computer (w / m / d) for the project implementation and cooperation in the IT support team (international),N,Thurgau
Informatiker (w/m/d) zur Projektumsetzung & Mitarbeit im IT-Support-Team (international),TRUMPF Schweiz AG,Bottighofen,Computer (w / m / d) for the project implementation and cooperation in the IT support team (international),N,Thurgau
Entwicklungsingenieur Elektronik,IMT Information Management Technology AG,Buchs,Electronics Development Engineer,N,Sankt Gallen
Entwicklungsingenieur Fachrichtung Elektronik oder Mechanik,IMT Information Management Technology AG,Buchs,Development engineer specializing in electronics or mechanics,N,Sankt Gallen
Praktikant Softwareentwicklung,IMT Information Management Technology AG,Buchs,Software Development Intern,N,Sankt Gallen
Softwareingenieur .NET,,Buchs,Software Engineer .NET,N,Sankt Gallen
Embedded Firmware Entwickler w/m,,CH 7310 Bad Ragaz,Embedded Firmware Developer m / f,N,Sankt Gallen
Lehrstelle als Informatiker/in,Grand Resort Bad Ragaz AG,CH 7310 Bad Ragaz,Apprenticeship as / in,N,Sankt Gallen
Lehrstelle als Mediamatiker/in,Grand Resort Bad Ragaz AG,CH 7310 Bad Ragaz,Apprenticeship as computer technicians / in,N,Sankt Gallen
SAP Basis Administrator (w/m),,CH 7310 Bad Ragaz,SAP Basis Administrator (m / f),N,Sankt Gallen
Development Engineer (f/m),Straub Medical AG,CH 7323 Wangs,Development Engineer (f / m),N,Sankt Gallen
"IT-Techniker Business IT (w/m, 60-100%) - Ständiges Inserat",Büro Föllmi AG,CH 7323 Wangs,"IT technician Business IT (w / m, 60-100%) - Permanent ad",N,Sankt Gallen
"IT-Techniker SOHO (w/m, 80-100%) - Ständiges Inserat",Büro Föllmi AG,CH 7323 Wangs,"IT technician SOHO (w / m, 80-100%) - Permanent ad",N,Sankt Gallen
SAP Basis Consultant (m/w),BasisTeam (Schweiz) AG,CH 8274 Tägerwilen,SAP Basis Consultant (m / w),N,Thurgau
Frontend-Developer (m/w),comsolit AG,CH 8280 Kreuzlingen,Frontend Developer (m / f),N,Thurgau
Full-Stack Web-Developer (m/w),comsolit AG,CH 8280 Kreuzlingen,Full Stack Web Developer (m / f),N,Thurgau
ONLINE-CONSULTANT / INTERACTIVE KONZEPTER (M/W),,CH 8280 Kreuzlingen,ONLINE consultant / INTERACTIVE Developers (M / W),N,Thurgau
SENIOR WEB-DEVELOPER (M/W),,CH 8280 Kreuzlingen,SENIOR WEB DEVELOPER (M / W),N,Thurgau
Software-Entwickler,,CH 8280 Kreuzlingen,Software Developer,N,Thurgau
WEB-DEVELOPER (M/W) CMS TYPO3,,CH 8280 Kreuzlingen,WEB DEVELOPER (M / W) CMS TYPO3,N,Thurgau
WEB-DEVELOPER (M/W) ECOMMERCE OXID,,CH 8280 Kreuzlingen,WEB DEVELOPER (M / W) ECOMMERCE OXIDE,N,Thurgau
WEB-DEVELOPER (M/W) ECOMMERCE SHOPWARE,,CH 8280 Kreuzlingen,WEB-DEVELOPER (M / W) ECOMMERCE Shopware,N,Thurgau
Software Entwickler / in IOT,,CH 8370 Sirnach,Software Developer / in IOT,N,Thurgau
Software Entwickler/in IOT,,CH 8370 Sirnach,Software Developer / in IOT,N,Thurgau
Erectioning and Commissioning E&C Engineer,AquaSwiss AG,CH 8500 Frauenfeld,Erectioning and Commissioning E & C Engineer,N,Thurgau
Junior Informatiker / In 100%,NovaLink GmbH,CH 8500 Frauenfeld,Junior Computer / In 100%,N,Thurgau
Senior SAP Basis Consultant (m/w) - Schweiz,itesys AG,CH 8500 Frauenfeld,Senior SAP Basis Consultant (m / f) - Switzerland,N,Thurgau
ICT-Spezialistin/Spezialisten (100%),,CH 8501 Frauenfeld,ICT specialist / specialists (100%),N,Thurgau
Motion Designer⁄in 40 -100 %,Koch Kommunikation AG,CH 8501 Frauenfeld,Motion Designer/in 40 -100%,N,Thurgau
Programmierer/in,,CH 8506 Lanzenneunforn,Programmer,N,Thurgau
Polymechaniker (m/w) als Einrichter und Programmierer,Utilis AG,CH 8555 Müllheim Dorf,Polymechaniker (m / f) as installers and programmers,N,Thurgau
Mediamatiker/Systemtechnik/In 100%,,CH 8575 Bürglen TG,Mediamatiker / technology / In 100%,N,Thurgau
Entwicklungsingenieur Systemtechnik / Mechanik 100%,,CH 8580 Amriswil,Development Engineer Systems Engineering / Mechanics 100%,N,Thurgau
Applikationsentwickler (m/w) 80-100%,,CH 8586 Ennetaach,Application developers (m / w) 80-100%,N,Thurgau
Drupal-Entwickler/-in (80 - 100 %),,CH 8590 Romanshorn,Drupal developer / -in (80 - 100%),N,Thurgau
Web-Entwickler/-in (80 - 100%),,CH 8590 Romanshorn,Web developers / -in (80 - 100%),N,Thurgau
Softwareentwickler (m/w/d),,CH 8596 Scherzingen,Software developers (m / w / d),N,Thurgau
BigData / Unstructured Data Analysis (BA/MA),,CH 8598 Bottighofen,BigData / Unstructured Data Analysis (BA / MA),N,Thurgau
Fullstack Developer,,CH 8598 Bottighofen,Full Stack Developer,N,Thurgau
Internet of Things (BA/MA),,CH 8598 Bottighofen,Internet of Things (BA / MA),N,Thurgau
Lead Frontend Engineer,,CH 8598 Bottighofen,Lead Front End Engineer,N,Thurgau
"Java (Spring) Software-Entwickler (m/w, 80 - 100%)",Hostpoint AG,CH 8640 Rapperswil,Java (Spring) Software Developer (m / w 80 - 100%),N,Sankt Gallen
"Python Software-Entwickler (m/w, 80 - 100%)",Hostpoint AG,CH 8640 Rapperswil,Python Software Developer (m / w 80 - 100%),N,Sankt Gallen
Software Entwickler in Frontend 50 - 100 %,,CH 8640 Rapperswil,Software developers in front 50-100%,N,Sankt Gallen
Software Entwickler in Java 50 - 100 %,,CH 8640 Rapperswil,Software developers in Java 50-100%,N,Sankt Gallen
Software Entwickler in Python 50 - 100 %,,CH 8640 Rapperswil,Software developers in Python 50-100%,N,Sankt Gallen
Client Security Engineer + IT-Koordinator/in 100%,,CH 8640 Rapperswil SG,Client Security Engineer + IT coordinator / in 100%,N,Sankt Gallen
