Description,Employer,Location,Translation,Multiple,State
Java Software Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Lugano, Zürich",Java Software Engineer (m / f),Y,Vaud
IT Security Engineer (m/w),adesso Schweiz AG,"Basel, Bern, Lausanne, Zürich",IT Security Engineer (m / f),Y,Vaud
Consultant (all genders) SAP FI/CO und S/4HANA,Accenture,Basel|Bern|Genf|Zrich,Consultant (all genders) SAP FI / CO and S / 4hana,Y,Geneva
Software Engineer AI/ML Applications 80% bis 100%,Swisscom (Schweiz) AG,Bern and Lausanne,Software Engineer AI / ML Applications 80% to 100%,Y,Vaud
Consultant Senior Java (H/F) (pour la Romandie),adesso Schweiz AG,"Bern, Lausanne",Senior Java Consultant (M / F) (for Romandie),Y,Vaud
Java / Full-Stack Developer (all genders) Voll-/Teilzeit,Accenture,Bern|Genf|Lugano|Zürich,Java / Full-Stack Developer (all genders) full / part time,Y,Geneva
User Experience Designer 80–100 % ImmoScout24 (w/m/d),Scout24 Schweiz AG,Flamatt / Zürich,User Experience Designer 80-100% ImmoScout24 (w / m / d),Y,Fribourg
Senior Frontend Developer anibis.ch m/f/d,Scout24 Schweiz AG,Flamatt oder Zürich,Senior frontend Developer anibis.ch m / f / d,Y,Fribourg
Solution Consultant 100%,Swisscom (Schweiz) AG,Genève ou Lausanne,Solution Consultant 100%,Y,Multiple
Consultant(e) Java / GED Alfresco,Serial SA,"Genève, Lausanne",Consultant (e) Java / GED Alfresco,Y,Multiple
Ingénieurs Fullstack - Java EE / Angular (H/F),Serial SA,"Genève, Lausanne",Engineers Fullstack - Java EE / Angular (M / F),Y,Multiple
Praktikant Business Sales Analyst & Support (60-100%) w/m/d,Scout24 Schweiz AG,Zürich / Flamatt,Intern Business Analyst Sales & Support (60-100%) w / m / d,Y,Fribourg
Praktikant Business Sales Analyst & Support (60-100%) w/m/d,Scout24 Schweiz AG,Zürich / Flamatt,Intern Business Analyst Sales & Support (60-100%) w / m / d,Y,Fribourg
Software Architekt (m/w/d),Scout24 Schweiz AG,Zürich / Flamatt,Software architect (m / w / d),Y,Fribourg
Identity and Access Management Consultant,Reist Telecom GmbH,Zürich / Puidoux,Identity and Access Management Consultant,Y,Vaud
Senior IAM Engineer,AdNovum Informatik AG,"Zürich, Bern Lausanne",Senior IAM Engineer,Y,Vaud
"Consultant - Cybersecurity - EMEIA Financial Services Advisory - Zürich, Bern oder Genf",EY,"Zürich, Bern oder Genf","Consultant - Cyber ​​Security - EMEIA Financial Services Advisory - Zurich, Bern and Geneva",Y,Geneva
Android Developer,,"Zurich, Geneva",Android Developer,Y,Geneva
Backend Developer Financescout24 (.NET/C#) f/m/d,Scout24 Schweiz AG,Zürich/Flamatt,Backend Developer FinanceScout24 (.NET / C #) f / m / d,Y,Fribourg
Quality Assurance Engineer - FinanceScout24 w/m/d,Scout24 Schweiz AG,Zürich/Flamatt,Quality Assurance Engineer - FinanceScout24 w / m / d,Y,Fribourg
Ops Specialist,SonarSource SA,1215 Geneva 15,Ops Specialist,N,Geneva
Product Manager - Microsoft Azure DevOps Experience,SonarSource SA,1215 Geneva 15,Product Manager - Microsoft Azure DevOps Experience,N,Geneva
SonarCloud - Java Developer,SonarSource SA,1215 Geneva 15,Sonar Cloud - Java Developer,N,Geneva
Projektleiter/in (Jun.) Business Projects (80-100%) und Applikationsmanager,Kelly Services,Av. Edouard-Dubois 20,Project Manager / in (June) Business Projects (80-100%) and Application Manager,N,Neuchâtel
Java Engineer w/m (Back- und Frontend),a & u Kaderberatung AG,Basel,Java Engineer w / m (back- and front-end),N,Basel
Développeur d'applications junior,,Carouge,Junior Application Developer,N,Geneva
DMP Junior Specialist,Isobar,Carouge,DMP Junior Specialist,N,Geneva
Embedded Apllication Software Engineer,ID Quantique SA,Carouge,Embedded Software Engineer Apllication,N,Geneva
Intégrateur Archibus,QIM info,Carouge,Archibus integrator,N,Geneva
Salesforce Marketing Cloud Consultant,Isobar,Carouge,Salesforce Marketing Cloud Consultant,N,Geneva
Développeur(se) Talend confirmé 80 - 100%,,CH 1005 Lausanne,Developer (se) confirmed Talend 80 - 100%,N,Vaud
