Description,Employer,Location,Translation,Multiple,State
Sales Manager Projektgeschäft,Avectris AG,"Baden, Wangen, Wallisellen",Sales Manager project business,Y,Zurich
Salesforce Consultant (all genders),Accenture,Basel|Bern|Genf|Lugano|Zürich,Salesforce Consultant (all genders),Y,Zurich
Software Development Engineer in Test (all genders) in Voll-/Teilzeit,Accenture,Basel|Bern|Zürich,Software Development Engineer in Test (all genders) in full / part time,Y,Zurich
IT - Business Consultant (m/w),ParMag AG,Bern und/oder Zürich,IT - Business Consultant (m / w),Y,Zurich
Business Analyst (w/m),ParMag AG,"Bern, Basel und Zürich",Business Analyst (m / f),Y,Zurich
Senior ServiceNow Entwickler (mit Fachverantwortung),UMB AG,Cham / Volketswil,Senior ServiceNow developers (with professional responsibility),Y,Zurich
Senior Sales Consultant Cloud,UMB AG,"Cham, Volketswil",Senior Sales Consultant Cloud,Y,Zurich
Client Delivery Manager Technology (m/w),Inventx AG,Chur oder Brütisellen (ab Herbst Flughafen Zürich),Client Delivery Manager Technology (m / f),Y,Zurich
Software-Integration and Packaging Engineer (m/w),Inventx AG,"Chur, Brüttisellen, oder St. Gallen",Software Integration and Packaging Engineer (m / f),Y,Zurich
Microsoft Azure Cloud Architekt,UMB AG,Deutschschweiz,Microsoft Azure cloud architect,Y,Multiple
Network Engineer,UMB AG,Deutschschweiz,Network Engineer,Y,Multiple
SAP Basis Administrator,UMB AG,Deutschschweiz,SAP Basis Administrator,Y,Multiple
Security Solution Engineer / Architect 80 bis 100%,United Security Providers AG,Deutschschweiz,Security Solution Engineer / Architect 80 to 100%,Y,Multiple
Technology Engineer (Project Manager) w/m,cablex AG,Deutschweiz,Technology Engineer (Project Manager) w / m,Y,Multiple
Strategy & Innovation Manager (m/w) 80-100%. | Dübendorf,MS Direct AG,Dübendorf / St. Gallen,Strategy & Innovation Manager (m / w) 80-100%. | Dübendorf,Y,Zurich
Senior Backend Developer Autoscout24/ Motoscout24 (.NET/C#) (f/m/d),Scout24 Schweiz AG,Flamatt / Zürich,Senior backend Developer Autoscout24 / MotoScout24 (.NET / C #) (f / m / d),Y,Zurich
Senior Backend Developer Autoscout24/ Motoscout24 (.NET/C#) (f/m/d),Scout24 Schweiz AG,Flamatt / Zürich,Senior backend Developer Autoscout24 / MotoScout24 (.NET / C #) (f / m / d),Y,Zurich
User Experience Designer 80–100 % ImmoScout24 (w/m/d),Scout24 Schweiz AG,Flamatt / Zürich,User Experience Designer 80-100% ImmoScout24 (w / m / d),Y,Zurich
Spezialist Business Intelligence 50-100% (m/w),WAGNER AG,Kirchberg BE oder Rümlang ZH,Specialist Business Intelligence 50-100% (w / w),Y,Zurich
Application Manager Finnova,Swisscom (Schweiz) AG,Luzern oder Bern-Ittigen,Application Manager Finnova,Y,Multiple
SOFTWARE-INGENIEUR/IN FÜR EMBEDDED-SYSTEME (80-100%),bbv Software Services AG,"Luzern, Zug, Bern, Zürich",SOFTWARE ENGINEER / IN FOR EMBEDDED SYSTEMS (80-100%),Y,Zurich
.NET SOFTWARE-INGENIEUR/IN (80-100%),bbv Software Services AG,"Luzern, Zug, Zürich, Bern",.NET SOFTWARE ENGINEER / IN (80-100%),Y,Zurich
SENIOR JAVA SOFTWARE-INGENIEUR/IN (80-100%),bbv Software Services AG,"Luzern, Zürich, Zug, Bern",SENIOR JAVA SOFTWARE ENGINEER / IN (80-100%),Y,Zurich
Linux Systems Engineer – Dienstleistungsunternehmen,Gfeller Consulting & Partner AG,Nordwestschweiz,Linux Systems Engineer - service companies,Y,Multiple
Senior Development Engineer - Engineered Solutions (f/m),Unicada AG,northwestern Switzerland,Senior Development Engineer - Engineered Solutions (f / m),Y,Multiple
Software Entwickler/in (m/w),4future management ag,Oftringen / Luzern,Software Developer / in (m / w),Y,Multiple
Business Intelligence Reporting Specialist (m/w),Swiss Bankers Prepaid Services AG,Raum Bern oder Zürich,Business Intelligence Reporting Specialist (m / f),Y,Zurich
SAP Inhouse Consultant HCM - Project Manager (w/m/d),BROMsolutions AG Binningen BL,Region Mittelland / Zürich,SAP HCM Inhouse Consultant - Project Manager (m / f / d),Y,Zurich
Frontend Developer (m/w),Consult & Pepper AG,Region Ostschweiz,Frontend Developer (m / f),Y,Multiple
Senior Software Engineer mit fachlicher Verantwortung (m/w),Consult & Pepper AG,Region Ostschweiz,Senior Software Engineer with professional responsibility (m / f),Y,Multiple
Exklusives Mandat - SAP ABAP Entwickler (w/m) SAP,BROMsolutions AG Biel,Region Zentralschweiz,Exclusive mandate - SAP ABAP Developer (f / m) SAP,Y,Multiple
Ingenieur Embedded-Entwicklung (m/w),Consult & Pepper AG,Region Zentralschweiz,Engineer Embedded Development (m / f),Y,Multiple
Projektleiter Wirtschaftsinformatik (m/w),Consult & Pepper AG,Region Zentralschweiz,Project management computer science (m / w),Y,Multiple
(Junior) DevOps-Engineer (w/m),Consult & Pepper AG,Region Zürich / Schaffhausen,(Junior) DevOps Engineer (w / m),Y,Zurich
