Category,Description,Employer,Location,Multiple,State,Translation
ECON,Assistenz Head Corporate Communications & Public Affairs w/m,Axpo Services AG,"Axpo Services AG, Parkstrasse 23, 5401 Baden",Y,Aargau,Assistant Head Corporate Communications & Public Affairs w / m
ECON,Senior Gas Business Developer,Axpo Solutions AG,"Axpo Services AG, Parkstrasse 23, 5401 Baden",Y,Aargau,Senior Gas Business Developer
ECON,"Inspektor / Berater für Elektroinstallationen (m/w, 100%)",NoData,"Bern, Freiburg, Solothurn",Y,Solothurn,"Inspector / consultant for electrical installations (m / w, 100%)"
ECON,Sachbearbeiter Verkauf / Export in der Industrie (E/D) 100%,"Universal-Job AG, Olten","Olten, Wikon, Aarau",Y,Aargau,Clerk Sales / Export in the industry (E / D) 100%
ECON,LogistikerIn (w/m 80% Festanstellung),Asanti AG Personaldienstleistungen,Raum Baden / Limmattal,Y,Aargau,Logistician (w / m 80% permanent)
ECON,"Inspektor und Berater für Elektroinstallationen (m/w, 100%)",NoData,Region Basel / Fricktal,Y,Aargau,"Inspector and consultant for electrical installations (m / w, 100%)"
ECON,Leiter Hub Schafisheim,railCare,Schafisheim,Y,Aargau,Head of Hub Schafisheim
ECON,Relocation Consultant (m/f),NoData,Solothurn und Lausanne,Y,Solothurn,Relocation Consultant (m / f)
ECON,Contract Manager (80 – 100%),ABB Switzerland Ltd.,Baden-Dättwil,N,Aargau,Contract Manager (80 - 100%)
ECON,Chauffeur Kat C/E Supervisor (m/w/d) - Rheinfelden,Feldschlösschen Getränke AG,Rheinfelden,N,Aargau,Driver Kat C / E Supervisor (m / f / d) - Rheinfelden
ECON,Praktikant/In Marketing,knecht reisen ag,5210 Windisch,N,Aargau,Intern / in Marketing
ECON,PraktikantIn Verkauf/Marketing Tagesausflüge 2020,Eurobus AG,5210 Windisch,N,Aargau,Intern Sales / Marketing Day trips in 2020
ECON,Product Manager (m/w) Rivage Flussreisen,Eurobus AG,5210 Windisch,N,Aargau,Product Manager (m / f) Rivage river cruises
ECON,Allrounder in der Logistik/Produktion 100% (temporär),Job 3000 AG,Aarau,N,Aargau,Rounder in logistics / production 100% (temporary)
ECON,HR Business Partner 100% (m/w),Pneu Egger AG,Aarau,N,Aargau,HR Business Partner 100% (w / w)
ECON,HR-Businesspartner (80-100%) m/w,DELIGO AG,Aarau,N,Aargau,HR-Business Partner (80-100%) m / w
