Currency,Pricing,Number of rooms,Appt Size,Address,Place,Kanton,Region,Language,Secondary
CHF,780,1,24,"Maienzugstrasse 10-12, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,980,1.5,38,"Buchserstrasse 34, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,995,1.5,0,"DAMMWEG 8a, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1090,1,25,"Hallwylstrasse 4, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1290,1.5,34,"Vordere Vorstadt 17/19, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1370,2,79,"Ziegelrain 1, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1665,1,69,"Tellistrasse 90, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,980,1.5,38,"Buchserstrasse 34, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,995,1.5,0,"DAMMWEG 8a, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1090,1,25,"Hallwylstrasse 4, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1290,1.5,34,"Vordere Vorstadt 17/19, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1370,2,79,"Ziegelrain 1, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,1665,1,69,"Tellistrasse 90, 5000 Aarau",Aarau,Aargau,Middle-North,German,None
CHF,890,2,47,"Höhenweg, 4663 Aarburg",Aarburg,Aargau,Middle-North,German,None
CHF,1080,2,42,"Bahnhofstrasse 61, 4663 Aarburg",Aarburg,Aargau,Middle-North,German,None
CHF,1130,1.5,47,"Strickereistrasse 2c, 4663 Aarburg",Aarburg,Aargau,Middle-North,German,None
CHF,890,2,47,"Höhenweg, 4663 Aarburg",Aarburg,Aargau,Middle-North,German,None
CHF,1080,2,42,"Bahnhofstrasse 61, 4663 Aarburg",Aarburg,Aargau,Middle-North,German,None
CHF,1130,1.5,47,"Strickereistrasse 2c, 4663 Aarburg",Aarburg,Aargau,Middle-North,German,None
CHF,790,1,21,"Reussgasse 17, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,850,1,30,"Zürcherstrasse 15, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,990,1,0,"Schodolergasse 1, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1055,2,0,"Wagenrainstr.17, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1310,2,45,"Marktgasse 24, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1575,1.5,107,"Marktgasse 16, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1575,1.5,107,"Marktgasse 16, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,790,1,21,"Reussgasse 17, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,850,1,30,"Zürcherstrasse 15, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,990,1,0,"Schodolergasse 1, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1055,2,0,"Wagenrainstr.17, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1310,2,45,"Marktgasse 24, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1575,1.5,107,"Marktgasse 16, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,1575,1.5,107,"Marktgasse 16, 5620 Bremgarten AG",Bremgarten AG,Aargau,Middle-North,German,None
CHF,810,1,30,"Hauptstrasse 24, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,920,1.5,28,"Steinackerstrasse 1, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1000,1.5,30,"Hauptstrasse 23, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1047,2,45,"Buchenweg 11, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1070,1.5,45,"Habsburgerstrasse 36, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1140,1.5,50,"Hauptstrasse 39, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
CHF,1165,1,30,"Hauptstrasse 23, 5200 Brugg AG",Brugg AG,Aargau,Middle-North,German,None
